region x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13
1 0.91 -0.6 -0.42 -0.93 1.28 0.49 0.87 -1.22 0.05 0.34 -0.16 0.83 0.99
1 0.69 -0.54 0.34 0.3 1.14 1.06 0.75 -1.3 1.5 0.51 0.1 0.59 1.18
1 1.5 -0.57 -0.24 -0.96 1.28 1.45 0.97 -0.82 0.77 0.57 -0.08 0.98 0.71
1 0.36 -0.33 1.14 -0.81 0.16 1.13 1.2 -0.42 0.12 0.41 0.49 0.32 1.66
1 0.89 -0.81 0.49 -0.84 0.58 1.77 1.64 -1.38 0.78 0.75 -0.3 0.36 1.71
2 -0.78 -1.25 -3.67 -2.66 -0.82 -0.5 -1.46 -0.66 -2.05 -1.34 0.4 -1.12 -0.72
2 -0.83 -1.11 -0.32 -1.05 0.09 -0.39 -0.94 2.15 -2.06 -0.77 1.28 -1.33 -0.21
2 -0.44 -0.87 -1.26 -0.81 0.02 -0.44 -0.62 1.35 -1.7 0.3 0.1 -1.44 -0.94
2 0.82 -0.97 -1.63 -0.45 -0.4 -0.31 -0.24 -0.34 -1.5 -0.54 1.19 -0.21 -0.37
2 -0.78 -1.08 -0.75 -0.15 -0.89 1.93 1.07 -1.38 0.49 -0.26 1.15 0.36 -1.04
2 -1.02 -0.79 0.6 -0.15 0.3 -0.65 -0.28 0.71 -0.98 -0.91 2.15 -0.54 -1.24
2 -0.78 -1.01 0.71 -0.42 -0.12 0.2 0.62 0.07 0.85 -0.2 1.02 -0.44 -0.22
2 0.13 -1.19 -2.43 -1.35 -1.52 1.09 1.15 -0.82 1.2 0.1 0.71 0.8 -0.78
2 -0.78 -1.04 -1.63 0.03 -1.52 -0.3 -0.03 -0.74 -0.96 -0.16 0.71 1.22 -0.75
2 0.42 -1.25 -0.02 -0.75 0.72 0.38 -0.73 1.51 -2.05 -0.81 0.27 -0.96 0.01
2 -0.97 -1.03 -2.25 -0.81 3.59 -0.71 -0.75 -1.78 1.59 -0.95 1.41 0.65 -0.09
2 -0.88 -0.65 -0.57 0.27 0.23 -1.91 -1.01 0.07 -0.23 -0.87 -0.23 -1.12 0.39
2 1.06 -0.74 1.11 1.65 -0.96 1.05 0.83 -1.22 0.49 -0.72 1.76 0.77 -1.07
2 0.6 -0.61 -0.46 1.35 -0.89 -0.66 -0.19 -0.74 -0.98 -0.57 0.1 0.24 -0.87
2 -0.01 -0.6 0.85 3.15 2.75 1.61 0.86 -1.22 0.64 -0.74 1.54 1.25 0.76
2 -1.28 -1.12 -0.24 0.45 0.09 1.73 0.11 -1.86 0.1 -0.8 0.14 0.73 0.44
2 -1.65 -0.41 -1.63 -1.05 -0.19 -1.09 -0.46 -0.18 -0.77 -0.54 1.19 -0.66 -1.01
2 0.04 -1.29 -2.39 -1.05 -0.96 -0.55 0 -0.98 -0.23 -0.2 1.02 -0.19 -1.13
2 -1.43 0.5 -0.5 -0.45 0.86 -0.92 -0.71 0.55 -1.12 -1.04 0.01 -0.13 -0.78
2 -0.83 -1.21 -1.52 -1.41 2.54 -0.63 -0.18 -0.1 2.04 -0.72 0.45 -0.42 0.01
2 -0.37 1.37 0.12 1.05 0.09 0.85 0.52 0.55 0.63 -1.07 1.02 0.73 -0.9
2 -1.23 -1.27 -1.34 -0.15 -0.96 0.2 0.23 -0.5 -0.28 -1.1 1.85 0.72 -1.49
2 -0.35 -0.47 -0.61 -0.21 -0.96 -0.15 0.5 -0.82 0.31 -0.5 0.89 0.74 -0.1
2 -1.13 -1.08 0.52 1.35 -1.52 -0.47 -0.45 0.31 -0.33 -1.23 1.54 0.15 -0.37
2 0.06 1.36 -0.17 0.9 -1.03 -1.03 -0.44 1.99 0.05 -0.11 -0.51 -0.85 -0.74
2 -1.43 -1.29 0.78 -0.45 -0.4 -0.15 0.18 -1.14 1.33 -0.87 -0.73 0.66 -0.72
2 -0.41 -1.21 -0.46 -0.45 -0.05 -0.15 -0.09 -0.5 -0.23 -1.05 1.19 0.77 -0.94
2 -1.04 -0.65 -0.21 0.99 -0.68 -0.82 -0.34 0.55 -0.05 -1.13 1.63 -0.5 -0.8
2 -1.66 -0.6 0.92 1.95 -0.82 -0.6 -0.42 0.31 -0.44 -1.06 1.76 0.84 -0.59
2 -1.68 -0.25 0.34 0.63 -1.1 -0.55 -0.34 0.95 -0.42 -0.97 0.19 0.19 -0.21
2 -1.13 -0.9 -0.24 1.23 -2.08 -0.15 -0.44 0.47 -0.37 -1.43 0.49 0.84 -0.39
2 -1.13 -0.45 -0.17 -0.3 -1.31 -1.11 -0.53 1.27 0.09 -1.15 0.54 -0.48 -0.85
2 -1.23 -0.74 0.19 0.75 -0.96 -1.35 -0.78 1.11 0.07 -0.63 0.4 0.05 -0.94
2 -0.38 -0.72 -0.39 0.36 -1.38 -1.46 -0.57 1.75 0.05 -0.87 0.01 -0.78 -0.8
2 -0.88 0.44 -0.53 -0.45 -0.82 0.25 0.22 -0.9 0.7 -1.25 0.84 0.97 -1.45
2 -1.7 -0.31 -0.32 -0.45 -0.12 1.16 0.23 -1.54 -0.42 -0.78 0.89 0.49 -1.28
2 -0.65 -0.73 -0.61 -0.15 4.36 0.33 0.24 -0.34 2.95 -1.06 0.89 0.03 0.6
2 -1.47 -0.19 1.36 0.6 2.4 -1.11 -1.04 -1.78 -0.05 -1.1 -0.03 -0.5 -0.39
2 -0.88 -0.83 -1.41 -1.05 -1.03 0.41 0.47 -0.58 0.31 -0.93 1.19 0.18 -1.01
2 -0.78 -1.13 -0.97 -0.3 -0.82 1.96 1.72 -0.98 0.63 -0.24 0.36 0.22 -0.28
2 -0.88 0.75 -0.57 -0.45 -0.82 0.89 0.96 0.71 2.13 -1.19 2.02 0.31 -1.08
2 -1.13 -0.23 -2.43 -0.6 -0.19 -0.1 0.14 -0.82 -0.33 -0.76 1.37 0.49 -0.12
2 -0.49 -0.89 -1.7 -0.3 -0.82 -1.35 -0.67 -0.58 -0.42 -1.13 0.36 0.22 -0.59
2 -0.81 0.1 0.34 0.45 -0.12 0.42 0.08 -0.18 -0.49 -0.97 -0.69 1.08 -0.98
2 -1.45 -0.55 -1.77 0 -0.96 0.33 -0.39 0.07 -0.3 -1.29 -0.08 -0.24 -1.05
2 -0.6 -0.54 -1.41 0.3 -1.03 -0.15 -0.11 -0.34 -0.19 -0.91 0.36 1.35 -0.24
2 -0.72 0.19 -0.35 0.75 -0.68 -0.98 -0.19 2.4 -0.3 -1.02 -0.43 0.97 -1.37
2 -0.92 -0.54 -0.9 -0.15 -1.38 -1.03 0 0.07 0.07 -0.72 0.19 0.79 -0.75
2 -0.35 -0.52 -0.32 0.9 -1.1 -1.46 -0.27 0.95 0.07 -0.76 -0.34 -0.27 -0.82
2 -0.96 -0.94 -1.55 -0.15 -0.54 0.1 0.01 0.23 0.85 -1.02 -0.43 0.58 -1.38
2 -1.71 -0.88 1.22 0.15 -0.4 0.71 0.89 -0.58 1.57 -1.04 0.01 0.91 -0.21
2 -1.9 1.26 -1.99 0 0.51 1.41 0.55 -0.98 3.48 -0.93 -0.91 0.28 -0.59
2 -0.59 0.08 -0.72 0.45 -0.82 0.41 0.24 -0.82 -0.65 -1.32 -0.25 0.24 -1.34
2 -1.53 0.31 2.02 0.15 0.23 -0.87 0 1.91 -0.95 -0.54 1.19 -0.16 -0.44
2 -1.96 -1.43 0.49 0.45 -0.82 0.3 -0.02 0.47 -0.26 -0.85 0.62 -0.42 -0.99
2 -1.13 -0.85 0.49 0.9 -1.1 0.42 0.26 0.55 -0.96 -0.93 -0.12 0.81 -1.15
2 -2.43 -0.74 -0.61 0.6 -1.03 0.26 0.14 1.27 0.73 -1.36 3.29 0.36 -1.08
2 -1.45 -0.78 -1.37 0.39 -0.96 -0.5 -0.43 -0.5 -0.11 -1.34 -0.03 1.01 -0.8
2 -0.72 -0.65 -0.64 0.9 0.58 -0.47 0.06 -0.18 0.03 -1.29 0.45 0.49 -1.28
2 -0.28 0.98 -1.41 -1.05 -1.38 -1.06 -0.78 0.55 -1.33 -0.72 -1.13 -0.69 -1.19
2 -1.23 0.98 -1.34 -0.15 -0.89 -0.47 -0.39 0.07 0.49 -1.63 -0.12 0.62 -0.58
2 -1.91 0.06 0.19 0.15 -0.26 0.97 0.76 -0.34 0.42 -0.78 -0.69 1.1 -0.39
2 -1.77 -0.26 3.15 2.7 1.35 1.41 3.05 0.87 0.49 0.41 -0.12 1.52 -0.9
2 -0.72 1.87 1.32 2.1 0.16 -0.15 0.1 0.55 0.21 -1.28 -0.16 0.72 -1.21
2 0.06 3.1 -0.86 0.6 -0.96 0.52 0.62 -0.5 0.73 -1.06 -1 0.69 -1.17
2 -1.39 1.77 0.09 0.45 -1.24 0.9 1 -1.22 2.3 -0.97 -0.91 1.45 -1.17
2 -1.15 -0.16 -0.72 0.45 -1.03 0.49 0.62 0.07 -0.42 -0.99 -0.43 0.94 -1.17
2 -0.7 -0.72 -0.28 0.6 -0.96 0.71 1.12 0.23 0.31 -0.48 -1.17 0.32 -1.25
2 -1.49 -0.18 1.51 2.7 -0.54 -0.26 0.21 1.75 0.3 -0.89 0.05 -0.24 -0.89
2 -0.78 -0.63 -0.24 1.5 -0.82 -0.12 0.42 0.31 0.54 -1.27 -0.3 0.24 -1.29
2 -1.18 1.76 0.05 0.75 -1.38 -0.31 -0.28 0.47 -0.42 -1.06 -0.73 -0.06 -0.53
3 -0.17 -0.88 -0.17 -0.45 1.56 -1.25 -0.78 -1.22 -1.14 -0.41 -0.86 -1.86 -0.37
3 -0.15 0.59 0.12 0.15 0.3 -1.59 -0.81 -0.98 -1.33 0.15 -0.95 -1.68 -0.69
3 -0.23 -0.02 0.12 1.35 -0.12 -1.83 -0.94 -0.74 -1.33 0.28 -1.3 -1.76 -0.59
3 -0.37 1.09 -0.02 0.6 0.44 -0.95 -0.83 -1.54 -1.31 -0.03 -0.78 -1.86 -0.47
3 -0.6 -0.98 -0.42 -0.6 -1.03 -0.47 -1.45 1.91 -0.6 0.17 -0.91 -1.55 -0.31
3 -0.49 0.11 -0.61 -0.3 -0.4 -1.08 -1.37 2.15 -1.14 0.88 -1 -1.45 -0.16
3 -0.92 2.13 0.63 0.45 -0.75 -1.46 -1.56 1.35 -1.38 -0.52 -0.91 -1.89 -0.09
3 -0.58 2.84 1 1.65 -0.26 -0.81 -1.43 2.15 -0.86 -0.03 -0.6 -1.3 -0.74
3 0.6 1.12 -0.64 0 -0.82 -1.08 -1.55 1.75 -1.24 0.28 -0.65 -1.12 -0.53
3 -0.2 0.56 0.89 1.35 0.09 0.04 -1.43 1.35 -1.36 -0.06 -0.3 -0.65 -0.5
3 -0.09 0.42 1.22 0.45 -0.26 -1.21 -1.53 1.35 -1.47 -0.2 -0.82 -0.42 -0.47
3 0.44 0.2 -0.06 0.15 -0.75 -1.43 -1.53 0.07 -1.66 0.23 -1.13 -0.2 0.11
3 0.64 0.75 1.29 1.2 -0.19 -1.19 -1.51 1.11 -1.82 -0.31 -0.3 -0.78 -0.72
3 0.76 2.34 -0.06 0.15 -0.54 -0.47 -1.23 0.87 -1 -0.28 -0.21 -0.79 -0.63
3 -0.92 1.38 -0.61 -0.3 0.86 -1.46 -1.25 -0.58 -0.79 1.36 -1.35 -0.86 0.34
3 0.2 1.1 -0.79 0.45 0.16 -1.27 -1.48 0.55 -0.51 -0.46 -1.56 -1.31 0.26
3 1.08 2.42 -0.5 0.15 -1.38 -2.1 -1.69 0.31 -1.59 -0.07 -1.65 -1.81 -1.05
3 -0.16 2.04 0.41 0.6 -0.96 -0.95 -1.38 0.87 -1.28 1.12 -1.83 -1.06 -0.39
3 0.39 0.81 0.05 0.6 -0.54 -0.58 -1.27 0.71 -0.6 1.45 -1.78 -1.4 -0.31
3 0.1 1.4 -0.02 0.6 0.93 -1.41 -0.64 -0.18 -0.79 1.87 -1.7 -1.81 -0.63
3 0.62 0.7 0.92 1.35 1.63 -1.43 -0.46 -1.14 -0.6 1.53 -1.61 -1.85 -0.78
3 -0.26 0.3 0.41 0.75 0.86 -1.3 -0.67 -0.98 -0.58 2.48 -2.09 -1.61 -0.85
3 0.13 -0.39 1.4 1.8 1.14 -0.15 -0.75 -0.82 -0.05 0.88 -1.52 -1.81 -1.02
3 0.28 0.86 -0.32 -0.3 -0.12 -0.79 -1.2 1.99 0.49 2.36 -1.74 -1.55 -0.23
3 -0.52 -0.94 -0.97 0.15 0.23 -1.3 -1.45 1.35 -0.33 1.1 -1.65 -1.5 -0.34
3 0.21 2.55 -0.17 0.75 -0.47 -0.89 -1.4 1.99 -0.07 1.23 -1.56 -1.59 -0.07
3 1.03 1.6 0.05 0 -0.75 -0.79 -1.2 0.95 -0.05 1.7 -1.7 -1.37 -0.85
3 -0.68 0.62 1 2.25 -0.19 -0.63 -1.45 2.15 -0.79 1.05 -1.26 -1.24 0.42
3 1.65 -0.59 1.22 1.65 -0.12 0.81 -0.72 1.35 1.94 3.43 -1.7 -0.92 -0.28
3 0.59 -0.6 1 0.9 -0.75 0.49 -0.93 1.27 1.22 2.89 -1.7 -1.17 -0.4
3 -0.79 1.34 0.05 0.45 -0.82 0.01 -1.11 1.11 -0.96 1.12 -1.74 -1.45 -0.72
3 0.85 0.83 0.63 0.15 0.51 -0.74 -1.47 1.11 -1.38 0.35 0.01 -1.12 -0.21
3 -0.19 0.84 0.78 0.75 0.44 -1.03 -1.43 1.91 -1.1 0.23 -0.38 -0.71 -0.56
3 -0.05 1 -0.06 -0.3 0.44 -1.45 -1.33 0.31 -1.14 0.1 -1.21 -1.21 -0.23
3 0.96 0.38 -0.24 0.75 -0.68 -1.51 -1.35 0.39 -0.98 1.95 -1.13 -1.31 -0.42
3 0.9 1.81 -0.39 0.9 -0.82 -1.62 -1.56 1.27 -0.77 0.67 -0.78 -1.21 -0.72
3 0.55 1.22 0.85 1.05 0.79 -0.95 -1.11 0.55 -0.23 2.43 -0.47 -1.48 -0.16
3 -0.22 0.93 -0.24 0 -0.82 -1.3 -1.37 0.31 -1.08 2.24 -1.04 -1.21 -0.2
3 0.71 0.22 1.18 1.5 0.37 -1.19 -1.19 0.23 -0.09 1.55 -0.95 -1.14 0.01
3 0.49 2.03 1.8 1.65 0.86 -0.5 -1.07 -0.74 -0.84 1.48 -1.26 -0.97 -0.37
3 -0.99 0.62 -0.17 -0.15 -0.26 -1.67 -1.54 0.31 -1.5 0.19 -1.3 -1.1 -0.75
3 -0.28 0.05 -0.32 0 -0.96 -1.45 -1.52 0.95 -1.66 2.09 -1.7 -1.38 -0.88
3 1.43 0.16 0.41 0.15 -0.61 -0.98 -1.33 0.63 -0.61 2 -1.48 -1.27 -0.28
3 0.87 2.97 0.3 0.3 -0.33 -0.98 -1.42 1.27 -0.93 1.14 -1.39 -1.23 -0.02
3 0.49 1.41 0.41 1.05 0.16 -0.79 -1.28 0.55 -0.32 0.97 -1.13 -1.48 0.01
3 0.33 1.74 -0.39 0.15 1.42 -1.13 -1.34 0.55 -0.42 2.22 -1.61 -1.48 0.28
3 0.21 0.23 0.01 0.15 1.42 -1.03 -1.35 1.35 -0.23 1.83 -1.56 -1.4 0.3
3 1.39 1.58 1.36 1.5 -0.26 -0.39 -1.27 1.59 -0.42 1.79 -1.52 -1.42 -0.59
