radius latitude longitude geopotential pressure sigmapressure temperature sigmatemperature mnd sigmamnd orbit
3394.5546 71.519 236.497 55040 87.7053 0.924 154.242 1.47 4.11847e+22 1.09e+20 2
3395.3244 71.52 236.504 57883 79.6154 0.914 153.096 1.59 3.76657e+22 1.09e+20 2
3396.0945 71.52 236.512 60727 72.2237 0.903 152.008 1.73 3.44133e+22 1.09e+20 2
3396.8632 71.52 236.519 63564 65.4899 0.893 151.27 1.88 3.13571e+22 1.09e+20 2
3397.6316 71.521 236.527 66399 59.3597 0.882 150.35 2.04 2.85958e+22 1.09e+20 2
3398.4006 71.521 236.534 69234 53.7582 0.873 148.952 2.21 2.61403e+22 1.09e+20 2
3399.168 71.521 236.541 72063 48.6617 0.863 148.029 2.41 2.38096e+22 1.09e+20 2
3399.9369 71.522 236.549 74896 44.0005 0.853 146.211 2.61 2.17968e+22 1.08e+20 2
3400.7043 71.522 236.556 77722 39.7656 0.844 145.823 2.85 1.97512e+22 1.08e+20 2
3401.4709 71.522 236.564 80543 35.9395 0.835 145.892 3.13 1.78424e+22 1.08e+20 2
3402.2367 71.523 236.571 83361 32.4871 0.826 146.024 3.44 1.61138e+22 1.08e+20 2
3403.0024 71.523 236.578 86177 29.3725 0.817 146.297 3.79 1.45418e+22 1.08e+20 2
3403.7671 71.523 236.586 88988 26.57 0.809 146.93 4.17 1.30977e+22 1.08e+20 2
3404.5319 71.524 236.593 91798 24.0355 0.8 146.342 4.56 1.1896e+22 1.08e+20 2
3405.2967 71.524 236.6 94607 21.7382 0.793 146.006 5 1.07836e+22 1.08e+20 2
3406.0604 71.524 236.608 97411 19.6619 0.785 146.141 5.5 9.74466e+21 1.08e+20 2
3406.8238 71.525 236.615 100212 17.7865 0.778 146.202 6.04 8.81152e+21 1.08e+20 2
3407.5868 71.525 236.622 103011 16.0992 0.77 147.536 6.7 7.90351e+21 1.08e+20 2
3408.3479 71.525 236.63 105801 14.5955 0.764 150.37 7.49 7.03027e+21 1.08e+20 2
3409.1098 71.526 236.637 108593 13.2483 0.757 151.202 8.24 6.34623e+21 1.08e+20 2
3409.8706 71.526 236.644 111380 12.0389 0.75 153.421 9.11 5.6835e+21 1.08e+20 2
3410.6305 71.526 236.652 114162 10.9542 0.744 155 10 5.11873e+21 1.08e+20 2
3375.6176 71.522 207.864 -15296 766.926 1.33 178.091 0.269 3.11907e+23 1.2e+20 3
3376.389 71.522 207.871 -12414 704.464 1.31 176.605 0.287 2.88914e+23 1.2e+20 3
3377.157 71.522 207.879 -9546 647.143 1.29 176.78 0.309 2.65143e+23 1.2e+20 3
3377.9038 71.521 207.887 -6759 596.196 1.28 178.926 0.335 2.4134e+23 1.2e+20 3
3378.6488 71.521 207.895 -3980 549.861 1.26 180.455 0.361 2.20698e+23 1.2e+20 3
3379.4124 71.521 207.902 -1133 506.271 1.25 180.045 0.386 2.03665e+23 1.2e+20 3
3380.1824 71.521 207.91 1737 465.723 1.23 179.646 0.413 1.87769e+23 1.2e+20 3
3380.9447 71.521 207.918 4577 428.837 1.22 180.397 0.445 1.72177e+23 1.2e+20 3
3381.7056 71.521 207.925 7410 395.06 1.2 181.001 0.478 1.58087e+23 1.21e+20 3
3382.4698 71.521 207.933 10255 363.864 1.19 180.521 0.511 1.45991e+23 1.21e+20 3
3383.2419 71.521 207.94 13128 334.67 1.17 178.842 0.544 1.35538e+23 1.21e+20 3
3384.0112 71.521 207.948 15988 307.701 1.16 177.27 0.579 1.2572e+23 1.21e+20 3
3384.7843 71.521 207.955 18862 282.534 1.14 174.874 0.615 1.1702e+23 1.21e+20 3
3385.5591 71.522 207.963 21741 259.069 1.13 172.366 0.653 1.08862e+23 1.21e+20 3
3386.3321 71.522 207.97 24612 237.337 1.11 170.386 0.696 1.0089e+23 1.21e+20 3
3387.1036 71.522 207.978 27476 217.268 1.1 168.643 0.743 9.33129e+22 1.21e+20 3
3387.8764 71.522 207.985 30344 198.687 1.08 166.771 0.794 8.62905e+22 1.21e+20 3
3388.6479 71.522 207.993 33205 181.56 1.07 165.147 0.849 7.96275e+22 1.21e+20 3
3389.4194 71.523 208 36065 165.758 1.05 163.372 0.909 7.34869e+22 1.21e+20 3
3390.1908 71.523 208.007 38924 151.179 1.04 161.373 0.973 6.78537e+22 1.21e+20 3
3390.9638 71.523 208.015 41787 137.697 1.02 159.192 1.04 6.26498e+22 1.21e+20 3
3391.7352 71.523 208.022 44643 125.31 1.01 157.652 1.12 5.75703e+22 1.21e+20 3
3392.5056 71.524 208.03 47494 113.957 0.995 156.37 1.21 5.27839e+22 1.21e+20 3
3393.2764 71.524 208.037 50345 103.556 0.982 155.063 1.3 4.83706e+22 1.21e+20 3
3394.0468 71.524 208.044 53193 94.0385 0.968 153.963 1.4 4.42389e+22 1.21e+20 3
3394.8155 71.525 208.052 56034 85.3646 0.955 153.028 1.52 4.04036e+22 1.21e+20 3
3395.5862 71.525 208.059 58881 77.4071 0.942 151.285 1.64 3.70594e+22 1.21e+20 3
3396.3554 71.525 208.066 61721 70.1466 0.929 150.312 1.77 3.38008e+22 1.21e+20 3
3397.1238 71.525 208.074 64557 63.5336 0.916 149.25 1.92 3.08321e+22 1.21e+20 3
3397.8935 71.526 208.081 67396 57.4907 0.903 147.827 2.08 2.81681e+22 1.2e+20 3
3398.6611 71.526 208.089 70227 52.0034 0.891 147.301 2.26 2.55705e+22 1.2e+20 3
3399.4289 71.526 208.096 73056 47.0167 0.879 146.357 2.46 2.32677e+22 1.2e+20 3
3400.1968 71.527 208.103 75885 42.4878 0.867 145.639 2.68 2.113e+22 1.2e+20 3
3400.9634 71.527 208.111 78708 38.3859 0.855 145.227 2.92 1.91442e+22 1.2e+20 3
3401.7299 71.527 208.118 81529 34.6691 0.844 144.536 3.19 1.73733e+22 1.2e+20 3
3402.4965 71.528 208.125 84350 31.3013 0.833 144.155 3.49 1.5727e+22 1.2e+20 3
3403.2609 71.528 208.133 87161 28.2726 0.822 144.865 3.84 1.41356e+22 1.2e+20 3
3404.0266 71.528 208.14 89975 25.5341 0.811 144.075 4.19 1.28365e+22 1.2e+20 3
3404.791 71.529 208.147 92784 23.0603 0.801 144.221 4.61 1.15811e+22 1.2e+20 3
3405.5559 71.529 208.155 95593 20.829 0.791 144.445 5.06 1.04443e+22 1.2e+20 3
3406.3189 71.529 208.162 98394 18.8357 0.782 146.977 5.65 9.28209e+21 1.2e+20 3
3407.0812 71.53 208.169 101191 17.0652 0.773 149.582 6.29 8.26316e+21 1.2e+20 3
3407.8433 71.53 208.176 103986 15.4831 0.764 151.084 6.95 7.42258e+21 1.2e+20 3
3408.6054 71.53 208.184 106780 14.0618 0.755 152.424 7.67 6.68192e+21 1.2e+20 3
3409.3665 71.531 208.191 109568 12.7852 0.747 154.198 8.46 6.00539e+21 1.2e+20 3
3410.1271 71.531 208.198 112354 11.6344 0.738 154.822 9.22 5.44284e+21 1.2e+20 3
3410.8875 71.531 208.206 115138 10.5904 0.73 155 10 4.94873e+21 1.2e+20 3
3375.7472 71.538 179.353 -15124 752.855 1.42 182.227 0.293 2.99235e+23 1.25e+20 4
3376.4982 71.538 179.361 -12317 694.745 1.4 183.271 0.314 2.74565e+23 1.25e+20 4
3377.2482 71.538 179.369 -9517 641.466 1.39 183.97 0.337 2.52546e+23 1.25e+20 4
3378.0082 71.537 179.376 -6680 591.696 1.37 183.441 0.358 2.33623e+23 1.25e+20 4
3378.7754 71.537 179.384 -3817 545.178 1.35 182.223 0.381 2.16695e+23 1.25e+20 4
3379.5426 71.537 179.391 -955 502.046 1.33 180.809 0.405 2.01112e+23 1.25e+20 4
3380.3178 71.538 179.399 1935 461.612 1.31 179.177 0.43 1.86599e+23 1.25e+20 4
3381.084 71.538 179.406 4790 424.654 1.29 178.623 0.459 1.72191e+23 1.25e+20 4
3381.8518 71.538 179.414 7650 390.449 1.27 177.64 0.489 1.59198e+23 1.25e+20 4
3382.6243 71.538 179.422 10526 358.645 1.25 176.365 0.521 1.47287e+23 1.25e+20 4
3383.3929 71.538 179.429 13386 329.415 1.24 175.571 0.556 1.35895e+23 1.25e+20 4
3384.1609 71.538 179.437 16243 302.441 1.22 174.207 0.593 1.25745e+23 1.25e+20 4
3384.9359 71.538 179.444 19124 277.214 1.2 171.652 0.628 1.16971e+23 1.25e+20 4
3385.7109 71.538 179.452 22005 253.765 1.18 169.216 0.667 1.08619e+23 1.25e+20 4
3386.4856 71.538 179.459 24883 232.05 1.16 167.254 0.711 1.00489e+23 1.25e+20 4
3387.2575 71.539 179.466 27748 212.089 1.15 165.97 0.76 9.25553e+22 1.25e+20 4
3388.0284 71.539 179.474 30609 193.733 1.13 164.49 0.813 8.53059e+22 1.25e+20 4
3388.8025 71.539 179.481 33481 176.719 1.11 162.299 0.867 7.88646e+22 1.25e+20 4
3389.5757 71.539 179.489 36348 161.047 1.09 160.545 0.927 7.26555e+22 1.25e+20 4
3390.3476 71.54 179.496 39209 146.649 1.07 159.008 0.993 6.67995e+22 1.25e+20 4
3391.1203 71.54 179.503 42072 133.412 1.06 157.418 1.06 6.13839e+22 1.25e+20 4
3391.892 71.54 179.511 44929 121.282 1.04 155.99 1.14 5.63135e+22 1.25e+20 4
3392.6642 71.54 179.518 47788 110.14 1.02 154.206 1.23 5.17317e+22 1.25e+20 4
3393.4367 71.54 179.526 50646 99.9129 1.01 152.62 1.32 4.74159e+22 1.25e+20 4
3394.2077 71.541 179.533 53497 90.593 0.991 151.888 1.43 4.32002e+22 1.25e+20 4
3394.9779 71.541 179.54 56344 82.1187 0.975 151.305 1.54 3.931e+22 1.25e+20 4
3395.7487 71.541 179.548 59191 74.4062 0.959 150.684 1.67 3.57648e+22 1.25e+20 4
3396.5173 71.542 179.555 62030 67.4157 0.943 150.235 1.81 3.25016e+22 1.25e+20 4
3397.2886 71.542 179.562 64877 61.0192 0.928 148.431 1.95 2.97753e+22 1.25e+20 4
3398.0585 71.542 179.57 67718 55.1903 0.913 147.526 2.11 2.70961e+22 1.25e+20 4
3398.8276 71.542 179.577 70554 49.9046 0.898 147.122 2.3 2.45684e+22 1.25e+20 4
3399.5959 71.543 179.584 73386 45.1148 0.883 146.438 2.49 2.23141e+22 1.25e+20 4
3400.3653 71.543 179.592 76221 40.7501 0.869 144.925 2.7 2.03657e+22 1.25e+20 4
3401.1335 71.543 179.599 79051 36.7859 0.854 144.254 2.93 1.84701e+22 1.25e+20 4
3401.9011 71.544 179.606 81877 33.2019 0.841 144.182 3.21 1.66788e+22 1.25e+20 4
3402.6674 71.544 179.614 84697 29.9783 0.827 144.63 3.52 1.50128e+22 1.25e+20 4
3403.435 71.544 179.621 87519 27.065 0.814 144.188 3.84 1.35954e+22 1.25e+20 4
3404.2007 71.545 179.628 90335 24.45 0.801 145.632 4.24 1.216e+22 1.25e+20 4
3404.9659 71.545 179.636 93147 22.1087 0.789 146.726 4.67 1.09136e+22 1.25e+20 4
3405.7305 71.545 179.643 95955 20.0089 0.777 147.695 5.14 9.81229e+21 1.25e+20 4
3406.4956 71.546 179.65 98764 18.1113 0.765 147.135 5.6 8.91553e+21 1.25e+20 4
3407.2601 71.546 179.657 101570 16.3937 0.754 147.403 6.15 8.05537e+21 1.25e+20 4
3408.0234 71.546 179.665 104370 14.852 0.743 149.253 6.81 7.20734e+21 1.25e+20 4
3408.7859 71.547 179.672 107166 13.4717 0.733 150.637 7.52 6.47743e+21 1.25e+20 4
3409.5487 71.547 179.679 109961 12.2244 0.723 150.378 8.21 5.88785e+21 1.24e+20 4
3410.3104 71.547 179.687 112752 11.1002 0.713 152.345 9.05 5.27737e+21 1.24e+20 4
3411.0714 71.548 179.694 115538 10.0955 0.704 155 10 4.71749e+21 1.24e+20 4
3375.8984 71.517 150.75 -14845 744.601 1.75 171.923 0.338 3.13692e+23 1.52e+20 5
3376.682 71.517 150.758 -11918 681.148 1.73 171.744 0.363 2.8726e+23 1.52e+20 5
3377.4131 71.516 150.766 -9189 627.345 1.7 175.445 0.395 2.58988e+23 1.52e+20 5
3378.1494 71.516 150.774 -6441 578.318 1.68 177.781 0.425 2.35611e+23 1.53e+20 5
3378.9123 71.516 150.781 -3595 531.886 1.65 178.037 0.455 2.16383e+23 1.53e+20 5
3379.6636 71.515 150.789 -794 489.899 1.62 178.253 0.486 1.9906e+23 1.53e+20 5
3380.4401 71.516 150.797 2100 449.805 1.6 176.198 0.514 1.849e+23 1.53e+20 5
3381.2078 71.516 150.804 4960 413.102 1.57 175.159 0.547 1.7082e+23 1.53e+20 5
3381.9783 71.516 150.812 7829 379.063 1.55 173.847 0.582 1.57927e+23 1.53e+20 5
3382.7464 71.516 150.819 10688 347.705 1.52 172.43 0.619 1.46054e+23 1.53e+20 5
3383.5213 71.516 150.827 13571 318.419 1.5 170.197 0.656 1.35507e+23 1.53e+20 5
3384.295 71.516 150.834 16448 291.34 1.47 168.391 0.697 1.25313e+23 1.53e+20 5
3385.0665 71.516 150.842 19315 266.403 1.45 166.861 0.742 1.15637e+23 1.53e+20 5
3385.8403 71.516 150.849 22190 243.342 1.42 165.189 0.79 1.06697e+23 1.53e+20 5
3386.6121 71.516 150.857 25056 222.151 1.4 163.816 0.843 9.82215e+22 1.53e+20 5
3387.3851 71.517 150.864 27926 202.616 1.37 162.15 0.899 9.05046e+22 1.53e+20 5
3388.1599 71.517 150.871 30801 184.594 1.34 160.598 0.96 8.32512e+22 1.53e+20 5
3388.9298 71.517 150.879 33656 168.158 1.32 159.748 1.03 7.62422e+22 1.53e+20 5
3389.7036 71.517 150.886 36525 153.016 1.3 158.088 1.1 7.01053e+22 1.53e+20 5
3390.4772 71.517 150.894 39391 139.123 1.27 156.87 1.18 6.4235e+22 1.53e+20 5
3391.2473 71.518 150.901 42243 126.476 1.25 156.108 1.26 5.86809e+22 1.53e+20 5
3392.0206 71.518 150.908 45106 114.842 1.23 154.304 1.35 5.39061e+22 1.53e+20 5
3392.7922 71.518 150.916 47961 104.201 1.2 152.734 1.45 4.94139e+22 1.53e+20 5
3393.5668 71.518 150.923 50826 94.402 1.18 150.555 1.55 4.54149e+22 1.53e+20 5
3394.339 71.519 150.93 53681 85.4628 1.16 149.607 1.66 4.13751e+22 1.53e+20 5
3395.1091 71.519 150.938 56527 77.3549 1.13 149.036 1.8 3.75932e+22 1.53e+20 5
3395.882 71.519 150.945 59381 69.9547 1.11 147.864 1.93 3.42664e+22 1.53e+20 5
3396.6521 71.519 150.953 62225 63.2695 1.09 148.277 2.1 3.09053e+22 1.53e+20 5
3397.4215 71.52 150.96 65064 57.2521 1.07 148.945 2.29 2.78407e+22 1.53e+20 5
3398.1906 71.52 150.967 67901 51.8243 1.04 148.946 2.48 2.52011e+22 1.53e+20 5
3398.9616 71.52 150.975 70744 46.8825 1.02 147.733 2.67 2.29852e+22 1.52e+20 5
3399.7312 71.521 150.982 73580 42.4039 1 147.865 2.9 2.07708e+22 1.52e+20 5
3400.4994 71.521 150.989 76410 38.3781 0.982 148.861 3.16 1.86731e+22 1.52e+20 5
3401.2684 71.521 150.997 79242 34.7464 0.962 149.106 3.44 1.68782e+22 1.52e+20 5
3402.0358 71.522 151.004 82066 31.4812 0.942 150.315 3.76 1.51692e+22 1.52e+20 5
3402.8029 71.522 151.011 84888 28.5327 0.923 149.913 4.07 1.37853e+22 1.52e+20 5
3403.5723 71.522 151.018 87717 25.842 0.905 148.767 4.39 1.25816e+22 1.52e+20 5
3404.3372 71.523 151.026 90529 23.4302 0.887 151.606 4.86 1.11937e+22 1.52e+20 5
3405.1036 71.523 151.033 93345 21.2571 0.869 150.96 5.27 1.0199e+22 1.52e+20 5
3405.8697 71.523 151.04 96158 19.2755 0.852 149.69 5.7 9.32668e+21 1.52e+20 5
3406.6358 71.524 151.048 98970 17.4657 0.836 148.588 6.17 8.51363e+21 1.52e+20 5
3407.4001 71.524 151.055 101774 15.8301 0.82 149.797 6.79 7.65411e+21 1.52e+20 5
3408.164 71.524 151.062 104576 14.3533 0.805 149.418 7.41 6.95761e+21 1.52e+20 5
3408.9285 71.525 151.07 107378 13.0052 0.791 147.749 8.02 6.3754e+21 1.52e+20 5
3409.6914 71.525 151.077 110174 11.7882 0.777 150.064 8.89 5.68964e+21 1.52e+20 5
3410.4534 71.525 151.084 112964 10.7115 0.764 155 10 5.00531e+21 1.52e+20 5
3376.2014 71.486 122.084 -14296 757.011 1.38 173.287 0.273 3.1641e+23 1.2e+20 6
3376.9837 71.486 122.091 -11374 692.91 1.36 172.227 0.292 2.914e+23 1.2e+20 6
3377.7141 71.485 122.099 -8648 638.127 1.34 174.122 0.316 2.6544e+23 1.2e+20 6
3378.4706 71.485 122.107 -5824 586.168 1.32 173.583 0.339 2.44585e+23 1.2e+20 6
3379.238 71.485 122.114 -2962 537.587 1.31 172.397 0.362 2.25856e+23 1.2e+20 6
3380.0063 71.485 122.122 -97 492.748 1.29 171.766 0.388 2.07779e+23 1.2e+20 6
3380.7716 71.485 122.129 2756 451.83 1.27 172.4 0.419 1.89824e+23 1.2e+20 6
3381.5224 71.485 122.137 5553 415.212 1.26 173.769 0.453 1.73066e+23 1.21e+20 6
3382.2897 71.485 122.145 8410 380.926 1.24 173.1 0.485 1.59389e+23 1.21e+20 6
3383.0567 71.485 122.152 11265 349.39 1.22 172.45 0.519 1.46744e+23 1.21e+20 6
3383.823 71.485 122.16 14116 320.358 1.21 171.289 0.555 1.35463e+23 1.21e+20 6
3384.5968 71.485 122.167 16994 293.249 1.19 169.021 0.591 1.25663e+23 1.21e+20 6
3385.3693 71.485 122.175 19865 268.169 1.17 166.854 0.63 1.16409e+23 1.21e+20 6
3386.1439 71.486 122.182 22743 244.888 1.16 164.561 0.672 1.07784e+23 1.21e+20 6
3386.9166 71.486 122.19 25613 223.429 1.14 162.676 0.719 9.9479e+22 1.21e+20 6
3387.6906 71.486 122.197 28486 203.613 1.12 160.903 0.77 9.16551e+22 1.21e+20 6
3388.4628 71.486 122.205 31352 185.452 1.11 159.822 0.829 8.40446e+22 1.21e+20 6
3389.2349 71.486 122.212 34215 168.836 1.09 159.256 0.894 7.67866e+22 1.21e+20 6
3390.0031 71.487 122.219 37063 153.757 1.08 159.295 0.969 6.99115e+22 1.21e+20 6
3390.774 71.487 122.227 39919 139.963 1.06 158.522 1.04 6.39496e+22 1.21e+20 6
3391.5459 71.487 122.234 42779 127.33 1.05 157.477 1.13 5.85633e+22 1.21e+20 6
3392.3171 71.487 122.242 45634 115.774 1.03 156.418 1.21 5.36088e+22 1.21e+20 6
3393.0884 71.488 122.249 48488 105.193 1.02 155.031 1.31 4.91452e+22 1.21e+20 6
3393.8612 71.488 122.257 51347 95.4752 1 153.333 1.41 4.50993e+22 1.21e+20 6
3394.6324 71.488 122.264 54198 86.598 0.987 152.262 1.52 4.11937e+22 1.21e+20 6
3395.4028 71.488 122.271 57045 78.5038 0.972 151.177 1.64 3.76112e+22 1.21e+20 6
3396.1748 71.489 122.278 59897 71.0994 0.958 149.876 1.78 3.43597e+22 1.21e+20 6
3396.9439 71.489 122.286 62736 64.3886 0.944 149.733 1.94 3.11462e+22 1.21e+20 6
3397.7137 71.489 122.293 65577 58.291 0.931 148.908 2.1 2.83529e+22 1.21e+20 6
3398.4834 71.49 122.301 68417 52.74 0.917 147.866 2.28 2.58335e+22 1.21e+20 6
3399.253 71.49 122.308 71254 47.6907 0.904 146.984 2.48 2.35005e+22 1.2e+20 6
3400.0214 71.49 122.315 74086 43.1075 0.891 146.27 2.7 2.13457e+22 1.2e+20 6
3400.7903 71.49 122.323 76919 38.9441 0.879 145.394 2.94 1.94003e+22 1.2e+20 6
3401.5583 71.491 122.33 79747 35.1746 0.867 145.103 3.21 1.75576e+22 1.2e+20 6
3402.3256 71.491 122.337 82571 31.7653 0.855 144.763 3.51 1.58931e+22 1.2e+20 6
3403.0932 71.492 122.344 85395 28.6865 0.843 144.905 3.85 1.43387e+22 1.2e+20 6
3403.8595 71.492 122.352 88213 25.9249 0.832 146.371 4.26 1.28285e+22 1.2e+20 6
3404.6246 71.492 122.359 91025 23.46 0.821 148.169 4.72 1.14679e+22 1.2e+20 6
3405.3904 71.493 122.367 93839 21.2449 0.811 148.588 5.18 1.03558e+22 1.2e+20 6
3406.155 71.493 122.374 96647 19.2522 0.8 149.72 5.72 9.31349e+21 1.2e+20 6
3406.9196 71.493 122.381 99454 17.4574 0.791 150.373 6.29 8.40858e+21 1.2e+20 6
3407.6835 71.493 122.388 102257 15.846 0.781 152.484 6.98 7.52677e+21 1.2e+20 6
3408.4462 71.494 122.396 105054 14.4088 0.772 155.433 7.77 6.71427e+21 1.2e+20 6
3409.2089 71.494 122.403 107850 13.1177 0.764 156.087 8.52 6.08702e+21 1.2e+20 6
