RAh RAm RAs DEd DEm DEs GLON GLAT F12 F25 F60 F100 CZ D LIR1 LIR2
2 46 17 13 5 45 161.29 -41.07 0.36 0.65 8.17 15.67 6436 83.37 11.17 11.26
2 46 38.3 21 35 6 155.59 -33.88 0.1 0.63 5.9 6.67 6987 90.66 11.02 11.11
2 46 25.1 0 29 53 173.74 -51.65 0.97 1.41 12.16 27.98 1509 20.05 10.14 10.26
2 46 18.7 -30 16 29 226.91 -64.68 2.96 7.3 53.35 104.79 1289 16.8 10.59 10.71
2 53 40.4 13 0 51 163.29 -40.09 0.55 0.92 9.09 16.43 3643 47.41 10.7 10.83
2 54 1.9 14 58 17 161.9 -38.45 0.23 1.88 8.07 11.18 9406 121.94 11.44 11.6
2 55 57.3 0 41 33 175.13 -49.14 0.27 0.87 7.72 12.06 4143 53.78 10.71 10.83
2 59 42.9 25 14 20 156.31 -29.19 0.26 0.61 6.16 12.12 375 6.96 8.88 8.98
2 59 58.1 36 49 12 149.74 -19.27 0.46 2.35 11.01 12.48 3605 47.7 10.72 10.89
3 2 0.4 70 14 34 133.61 10.13 0.31 0.82 5.62 9.09 4886 66.34 10.77 10.91
3 2 37.9 -22 52 0 212.09 -60.05 0.91 1.85 11.75 26.44 1396 18.32 10.04 10.18
3 4 40.5 -12 20 26 194.19 -55.49 0.25 1.1 7.33 10.18 4490 58.51 10.74 10.88
3 8 57.3 -2 57 16 182.6 -49.2 0.5 2.28 13.06 15.41 2462 32.26 10.46 10.6
3 9 45.8 -20 34 32 208.77 -57.81 0.88 1.32 8.37 28.47 1682 22.13 10.21 10.28
3 15 0.9 42 2 8 149.51 -13.31 0.44 1.45 8.18 11.27 6953 91.16 11.18 11.35
3 16 1.7 -2 25 34 183.67 -47.5 0.25 1.2 13.13 16.89 2194 28.86 10.36 10.46
3 19 46.7 41 30 37 150.57 -13.26 1.06 3.44 6.99 7.2 5264 69.33 10.86 11.2
3 18 16.7 -66 29 30 283.35 -44.65 0.89 2.48 30.71 63.14 457 4 9.11 9.18
3 22 7.1 -15 23 53 202.2 -53.15 0.32 0.63 6.16 14.68 2135 28.11 10.15 10.24
3 25 5.2 40 33 32 151.97 -13.49 0.25 0.91 7.47 10.87 7007 91.84 11.16 11.28
3 23 55.9 -36 27 52 238.77 -56.52 0.52 0.93 8.01 13.99 1360 16.13 9.7 9.84
3 33 41.7 -21 28 43 213.27 -52.76 0.21 0.96 8.81 11.97 1867 24.64 10.06 10.17
3 33 36.5 -36 8 23 237.96 -54.6 5.12 14.28 94.31 165.67 1636 17.93 10.86 11
3 36 38.2 -20 54 8 212.7 -51.93 0.56 1.93 7.43 5.95 1792 23.66 9.95 10.13
3 36 45.5 -35 59 58 237.66 -53.97 0.52 1.46 5.92 9.55 868 10.9 9.21 9.42
3 37 28.8 -24 29 59 218.46 -52.71 1.17 2 17.23 36.03 1493 15.9 10.06 10.18
3 38 48.8 15 32 56 171.57 -31.1 0.07 0.65 5.97 7.27 10549 137.11 11.4 11.47
3 39 23.2 -31 19 20 229.79 -53.34 1 1.38 12.87 27.49 1068 18.98 10.1 10.22
3 40 56.8 -22 33 53 215.73 -51.45 0.53 0.55 5.68 12.27 1585 20.91 9.83 9.96
3 42 27.7 -13 29 23 202.8 -47.89 0.8 1.4 10.95 22.62 2016 21.2 10.11 10.25
3 46 49.4 68 5 49 138.17 10.58 14.92 34.48 180.8 391.66 31 4.6 10.01 10.17
3 44 32.1 -44 38 41 251.52 -51.39 1.1 1.44 10.32 32.43 1164 11.47 9.7 9.78
3 48 19.4 70 8 3 136.97 12.25 2.95 4.86 42.21 89.18 1184 19.46 10.63 10.75
3 50 36.5 73 1 51 135.2 14.58 0.23 0.66 5.6 10.73 4312 59.3 10.7 10.81
3 50 15.3 70 5 42 137.12 12.32 1.69 6.39 39.32 51.07 1232 20.06 10.52 10.68
3 54 16.4 15 55 44 174.28 -28.2 0.31 0.75 5.65 8.95 6662 86.84 11 11.15
3 54 39.8 -20 30 7 214.12 -47.8 1.55 4.68 33.36 46.73 1894 25.09 10.66 10.8
4 2 30.7 60 20 33 144.54 5.75 0.14 0.7 5.65 7.76 8997 119.05 11.26 11.37
3 59 37.4 -67 38 6 281.37 -40.73 1.21 3.25 25.38 40.75 1329 16.33 10.19 10.32
4 7 47.4 69 48 43 138.46 13.11 1.08 0.84 6.77 28.33 895 15.86 9.92 9.97
4 12 22.4 5 32 49 186.74 -31.5 0.57 0.83 8.39 16.82 5161 67.57 11.01 11.13
4 12 1.2 -32 53 11 233.18 -46.6 1 1.12 9.63 30.61 1196 15.51 9.94 10.01
4 13 50.1 -32 0 24 231.98 -46.11 0.95 2.22 13.66 20.88 3570 47.6 10.85 11.02
4 14 29.6 -56 4 13 266.11 -43.83 0.46 0.73 5.4 20.05 1276 15.93 9.77 9.8
4 16 24.2 -60 12 26 271.36 -42.26 0.49 0.76 6.06 12.67 1133 13.75 9.48 9.62
4 17 37.4 -62 46 59 274.51 -41.2 1.84 3.05 30.24 61.2 1292 12.69 10.1 10.21
4 23 27.6 75 17 43 135.22 17.76 0.72 1.23 9.88 25.8 2484 36.22 10.61 10.7
4 19 59.8 -54 56 6 264.31 -43.4 1.91 3.02 22.53 58.05 1496 19.1 10.41 10.51
4 21 19.6 -18 48 45 214.77 -41.32 0.22 0.51 5.69 9.47 9652 126.43 11.35 11.45
4 22 42.3 -40 36 3 244.38 -44.84 0.23 0.8 8.03 16.81 6111 81.5 11.17 11.24
4 30 49.5 64 51 1 143.68 11.24 1.24 9.03 54.36 55.29 -97 4.6 9.38 9.49
4 30 32.8 38 55 47 162.69 -6.48 0.3 0.74 6.53 10.36 5640 74.65 10.93 11.06
4 32 49.9 29 30 0 170.09 -12.47 1.39 5.9 42.13 48.27 2047 28.32 10.85 10.97
4 34 0.1 -8 34 46 204.45 -34.38 1.38 7.5 32.12 34.32 4746 62.61 11.43 11.6
4 35 33.9 19 10 16 178.7 -18.66 0.53 0.84 6.35 12.85 7408 97.06 11.21 11.35
4 39 6.5 -24 11 2 223.13 -39.05 0.34 0.69 6.07 11.34 4550 60.51 10.75 10.87
4 41 29.6 -2 51 26 199.56 -30.01 0.65 1.47 6.61 15.71 717 10.16 9.3 9.46
4 45 42.7 -59 14 48 268.78 -38.99 2.47 5.25 41.21 77.92 1350 16.82 10.46 10.59
4 46 50.3 -48 33 31 254.99 -40.28 0.05 0.45 5.86 5.38 15866 208.86 11.77 11.79
4 48 37.7 -6 19 12 204.06 -30.12 0.63 0.71 6.27 14.92 4571 60.51 10.83 10.96
4 57 22.4 78 11 28 134.04 21.06 0.23 0.74 5.91 9.74 1556 24.79 9.93 10.05
4 52 6.8 -32 59 24 234.96 -38.29 0.22 1.21 8.15 9.85 5622 75.05 10.99 11.12
4 54 37.2 3 16 0 195.55 -24.05 0.36 1.05 6.78 10.53 4581 60.65 10.76 10.91
4 58 12.4 -7 46 50 206.8 -28.68 0.21 0.55 5.63 11.03 3773 50.29 10.57 10.66
4 59 19.9 -7 51 34 207.02 -28.46 0.31 0.77 7 13.3 4186 55.68 10.74 10.85
5 5 13.7 -37 58 46 241.69 -36.45 3.18 4.31 35.16 86.15 1211 12.54 10.22 10.33
5 7 44.2 -8 1 9 208.23 -26.67 0.33 1.35 9.56 12.76 4441 59.13 10.86 11
5 8 21.4 17 22 4 185.04 -13.48 0.26 1.16 9.66 14.59 5033 66.78 10.99 11.1
5 7 42.3 -37 30 48 241.21 -35.9 5.4 17 105.55 141.76 1000 12.61 10.55 10.71
5 16 38.9 79 40 11 133.18 22.61 0.2 0.62 5.51 10.09 16260 214.83 11.84 11.94
5 11 25.5 24 45 20 179.29 -8.67 0.19 0.85 6.92 8.36 6915 91.29 11.1 11.21
5 11 45.7 5 12 2 196.17 -19.4 0.36 0.74 6.85 12.05 4470 59.48 10.77 10.9
5 12 3.1 -15 41 17 216.61 -28.9 0.58 0.86 7.35 17.77 1937 26.24 10.18 10.28
5 16 54.9 51 31 56 158.04 7.76 0.21 1.05 6.56 7.34 8224 109.16 11.23 11.36
5 19 40.5 5 38 42 196.84 -17.48 0.58 4.5 14.45 9.5 9005 118.44 11.7 11.81
5 21 6.3 -10 14 45 212.05 -24.67 0.08 0.19 5.39 8.04 8474 111.81 11.19 11.23
5 21 1.4 -25 21 46 227.89 -30.29 0.74 3.47 13.25 11.84 12816 168.64 11.93 12.11
5 25 16.3 19 10 46 185.78 -9.14 0.97 2.06 5.37 10.69 8867 116.77 11.3 11.59
5 23 34.5 -69 45 22 280.47 -32.89 2781.9 7824.2 82917 84686 278 0.05 8.76 8.83
5 33 21.8 -21 56 44 225.27 -26.5 0.69 1.02 9.17 23.48 1663 18.65 9.99 10.09
5 42 3.9 69 22 33 143.82 19.47 0.9 0.99 7.17 23.37 3975 55.27 10.93 11.02
5 40 43.3 49 41 41 161.67 9.96 0.52 1.08 14.03 24.82 5743 77.22 11.32 11.41
5 43 5.5 0 37 10 204.39 -14.87 0.33 1.04 7.03 15.96 4290 57.68 10.83 10.93
5 45 48.6 58 42 2 153.99 15.01 0.55 0.86 14.26 29.46 4445 60.87 11.15 11.22
5 47 10.7 17 33 44 189.93 -5.58 0.5 1.7 10.02 12.73 5613 74.95 11.08 11.25
5 46 47.9 -16 46 58 221.31 -21.64 0.71 0.76 7.03 20.46 2156 29.48 10.33 10.41
5 55 42 3 23 30 203.42 -10.78 0.45 1.91 6.57 5.27 789 11.64 9.28 9.47
6 1 7.2 -23 40 25 229.53 -21.14 0.28 0.86 7.05 14.05 1843 25.11 10.06 10.16
6 14 27 80 27 0 133.36 25.21 0.71 0.92 9.87 22.98 3887 54.78 10.94 11.04
6 7 29.5 -61 48 28 270.97 -28.82 0.58 0.68 6.11 15.2 1211 14.52 9.59 9.7
6 9 45.1 -21 40 22 228.35 -18.54 0.06 0.63 6.43 8.47 11226 148.8 11.51 11.59
6 18 39.8 78 21 25 135.65 24.9 6.83 18.81 146.69 194.05 885 16.47 10.93 11.07
6 16 22.9 -21 22 20 228.69 -17 1.37 2.45 17.55 40.85 2688 36.93 10.84 10.96
6 19 2.7 3 9 53 206.4 -5.74 1.14 0.85 8.34 24.88 2902 40.17 10.68 10.79
6 20 56.9 -8 29 42 217.11 -10.61 1.41 1.62 17.61 39.38 734 10.19 9.71 9.82
6 21 5.4 -20 2 53 227.88 -15.47 0.54 0.93 5.38 11.9 1981 27.28 10.05 10.21
6 20 16 -57 34 43 266.44 -26.72 0.3 0.56 6.41 13.94 2532 33.83 10.31 10.39
6 5 36.5 -86 37 53 299.2 -27.75 0.61 0.81 7.48 19.25 1809 22.36 10.07 10.16
6 27 21.1 -47 10 38 255.47 -23.45 0.32 1.42 9.05 11.85 11630 155.32 11.69 11.84
6 31 46.3 -17 37 15 226.67 -12.16 0.17 0.86 7.42 10.5 6339 85.61 11.09 11.19
6 44 50 -27 38 23 237.31 -13.55 0.68 0.85 7.11 18.78 1906 21.54 10.02 10.13
6 50 7.8 60 50 45 154.97 23.31 0.44 1.36 6.41 9.55 1832 28.16 10.05 10.25
6 50 11.2 -11 15 14 222.84 -5.38 0.41 0.66 5.96 8.34 2602 36.36 10.24 10.39
6 57 34 46 24 10 170.23 20.28 0.41 1.2 8.05 11.33 6538 88.51 11.15 11.3
6 59 40.3 -63 17 53 273.7 -23.14 0.14 0.78 5.74 7.52 6882 94.76 11.05 11.17
7 14 12.5 84 22 58 129.24 27.54 0.69 0.72 5.64 14.48 2222 30.24 10.21 10.34
7 3 27.5 -60 16 5 270.66 -21.89 0.43 1.37 6.7 9.26 9390 127.33 11.39 11.58
7 8 20.8 18 46 46 197.84 12.06 0.59 2.4 17.6 31.82 2206 32.1 10.65 10.76
7 9 19.6 20 38 12 196.2 13.04 0.46 1.64 7.73 24.1 5276 72.21 11.18 11.25
7 9 47 -27 34 10 239.62 -8.51 0.91 2.7 15.23 22.85 2961 41.1 10.76 10.93
7 11 40.7 -26 42 19 239.03 -7.75 0.41 0.79 7.94 14.88 2611 36.22 10.42 10.53
7 27 17.8 85 45 16 127.67 27.71 1.07 1.63 14.29 28.97 2380 35.83 10.68 10.81
7 13 11.9 12 15 58 204.35 10.33 0.25 0.96 6.31 8.45 1910 28.04 10.03 10.17
7 16 37.7 -62 20 35 273.31 -21.01 0.74 2.2 20.35 38.31 3237 44.02 11 11.1
7 22 10.7 -29 14 13 242.36 -6.83 0.45 1.36 9.94 17.69 3026 42.07 10.63 10.76
7 23 43.1 33 26 32 185.05 20.83 0.42 1.73 6.95 8.91 4031 56.37 10.67 10.88
7 21 19.5 -69 0 2 280.3 -22.6 0.73 1.08 8.48 19.18 1355 16.08 9.79 9.92
7 23 38.3 -30 3 8 243.24 -6.92 0.45 0.78 6.1 14.82 2258 31.08 10.24 10.35
7 27 37.5 -2 54 55 219.69 6.69 0.07 0.66 6.49 6.35 26257 343.74 12.27 12.32
7 28 54.2 33 49 7 185.05 21.97 0.69 1.98 16.74 24.58 4134 57.8 11.1 11.23
7 36 51.3 65 36 30 150.56 29.19 2.82 3.57 41.47 99.13 161 3.22 9.1 9.19
7 35 42.5 11 42 36 207.29 15.06 0.26 0.81 9.38 13.33 4881 67.63 10.98 11.08
7 36 56 35 14 31 184.14 23.98 0.61 1.19 8.75 13.58 3784 53.41 10.76 10.92
7 36 25.9 -69 31 17 281.29 -21.5 1.62 1.83 14.85 46.61 1449 17.33 10.22 10.3
7 38 4.3 -55 11 27 267.42 -15.77 0.4 0.75 6.18 13.27 2828 38.07 10.39 10.5
7 58 14.9 -49 51 9 264.01 -10.58 0.87 1.29 12.09 31.84 1119 11.81 9.73 9.81
8 5 37.9 -11 25 40 231.85 10.79 0.68 0.89 7.31 16.83 1581 22.69 10.03 10.16
8 18 45.6 -25 29 59 245.55 5.88 1.26 4.03 24.33 37.23 1637 22.43 10.44 10.6
8 33 23.2 -22 58 28 245.36 10.06 1.05 1.32 7.48 25.86 1678 20.18 10.09 10.18
8 38 22.7 65 7 14 150.45 35.6 0.25 1.13 5.81 6.48 5730 79.33 10.89 11.05
8 38 23.8 25 45 17 198.84 33.97 0.21 1.81 23.74 25.88 5538 77.43 11.48 11.54
8 37 2.3 -49 54 32 267.52 -5.39 0.64 2.27 9.44 8.02 7764 107.5 11.38 11.56
8 44 27.6 -31 41 41 253.92 6.83 0.58 0.84 6.48 9.31 4846 68.55 10.83 11.02
8 48 5 74 5 55 139.68 33.87 0.92 2.47 15.98 25.43 2187 33.65 10.62 10.77
8 46 0.3 -19 18 8 244.07 14.59 0.29 1.09 6.43 9.62 1734 24.35 9.93 10.08
8 50 45.1 -21 57 45 246.96 13.89 0.36 0.81 8.21 15.84 2574 36.31 10.44 10.54
8 52 40.1 33 25 23 190.45 38.76 1.05 1.15 9.7 30.68 425 7.34 9.28 9.36
8 53 33.6 51 18 46 167.33 39.68 0.43 0.58 7.14 11.22 642 12.47 9.4 9.53
8 52 31.1 -69 1 59 284.24 -15.38 0.15 0.73 5.71 6.12 13888 186.88 11.65 11.76
8 56 12.2 -2 33 47 230.81 26.11 0.56 0.59 6.64 14.01 1631 24.36 10.02 10.15
9 0 25 39 3 56 183.4 41 0.33 1.76 7.3 4.77 17455 232.19 12.01 12.1
9 2 45.9 -20 43 28 247.73 16.85 0.52 1.32 8.95 11.41 2596 36.73 10.41 10.57
9 4 12.8 -36 27 2 260.24 6.95 0.2 1.19 11.64 11.08 17880 238.84 12.19 12.26
9 13 44.5 76 28 31 136.25 34.36 0.6 0.87 8.02 17.88 1477 24.68 10.13 10.25
9 10 49.5 -8 53 36 238.91 25.59 0.64 0.73 6.03 20.65 1838 26.85 10.24 10.3
9 14 5.7 40 6 47 182.15 43.68 0.64 1.51 9.17 13.76 2600 39.51 10.51 10.68
9 13 37.6 -10 19 28 240.64 25.3 0.11 0.74 6.75 10.68 16273 218.2 11.91 12
9 15 16.7 40 54 57 181.04 43.91 0.49 1.09 8.4 15.79 2734 41.27 10.56 10.69
9 13 30.2 -60 47 24 279.26 -8.38 0.54 2.04 11.61 15.39 2858 37.25 10.54 10.7
9 15 54.8 44 19 58 176.3 43.94 0.14 0.61 6.07 10.33 11957 161.16 11.6 11.69
9 17 24.5 41 59 52 179.53 44.3 0.76 3.21 20.6 29.69 1706 27.84 10.55 10.69
9 24 17.2 49 14 53 169.24 44.81 0.35 0.94 5.73 10.15 2638 40.08 10.35 10.5
9 32 10.5 21 30 5 208.71 44.54 5.29 8.64 60.54 130.43 566 8.26 10.05 10.19
9 35 48.8 61 21 22 152.48 42.89 0.25 1.02 11.68 19.91 11785 158.61 11.87 11.95
9 36 39.3 48 28 19 169.79 46.96 0.1 0.75 5.68 8.42 7777 107.06 11.18 11.28
9 38 13.6 -63 29 12 283.25 -8.26 0.31 0.79 6.63 10.11 2162 26.56 10.02 10.15
9 42 4.2 0 20 9 235.38 37.28 0.64 1.09 5.69 14.48 1892 28.65 10.16 10.31
9 42 11.2 4 40 22 230.76 39.68 0.46 0.8 5.36 8.24 2044 31.16 10.07 10.25
9 42 55.3 31 50 44 194.62 49.02 0.82 1.92 12.07 25.42 1332 22.82 10.23 10.36
9 47 14.5 67 55 10 143.91 40.9 0.92 1.71 13.09 33.43 11 2.68 8.46 8.55
9 45 42 -14 19 35 249.71 28.78 0.63 1.38 7.51 17.22 2314 33.15 10.37 10.52
9 45 47.3 -14 21 58 249.76 28.77 0.63 1.61 10.58 23.07 2420 34.69 10.55 10.67
9 46 20.3 3 3 22 233.26 39.69 0.46 0.54 5.26 12.18 6136 87.01 11.07 11.19
9 50 20.7 72 16 47 139.01 38.68 0.9 0.86 6.31 21.28 1322 22.92 10.12 10.21
9 50 8.1 -73 55 24 291.15 -15.36 1.06 1.62 13.52 30.51 1260 14.24 9.88 10
9 53 40 1 34 53 236.19 40.37 0.6 1.11 9.64 19.38 1292 19.98 10 10.12
9 55 33.6 69 3 56 142.09 40.9 5.86 5.42 44.73 174.02 -34 3.63 9.42 9.47
9 55 53.1 69 40 41 141.41 40.57 79.43 332.63 1480.42 1373.69 187 3.63 10.61 10.77
9 55 7.3 -33 8 4 265.49 16.63 0.43 0.64 6.47 18.06 3012 41.16 10.57 10.63
9 58 20.3 32 22 19 194.22 52.32 0.6 1.17 8.91 18.11 1476 25.09 10.17 10.3
10 0 26.5 3 22 29 235.52 42.79 0.29 0.62 5.36 10.41 2050 31.28 10.13 10.24
10 0 6.2 -31 33 15 265.27 18.51 0.4 1 8.33 16.22 2723 36.86 10.46 10.57
10 1 57.9 55 40 51 157.81 48.36 2.54 3.61 50.67 104.69 1142 18.19 10.65 10.73
10 1 25.5 15 46 15 220.09 49.06 0.82 2.89 10.88 13.89 2404 37.04 10.5 10.73
10 3 19.5 68 43 59 141.9 41.66 0.76 1.88 15.9 26.53 -5 2.46 8.35 8.47
10 4 2.7 -6 28 35 246.38 37.39 0.59 1.13 11.28 22.27 5091 73.48 11.21 11.31
10 6 4.2 -33 53 4 267.84 17.49 0.28 1.21 9.79 9.02 10267 141.58 11.64 11.73
10 6 32.3 -29 56 6 265.33 20.65 0.31 0.74 5.33 6.67 865 9.39 8.99 9.15
10 8 50.4 -67 1 53 288.02 -8.99 1.1 2.71 16.96 34.84 1378 15.72 10.04 10.18
10 13 44.4 3 25 38 238.14 45.52 0.29 0.32 5.78 13.25 1345 21.27 9.87 9.94
10 14 15.2 3 27 57 238.2 45.65 1.15 0.94 7.88 22.06 1305 20.61 10.05 10.18
10 14 42.9 -28 52 25 266.12 22.58 1.06 1.67 13.7 31.49 1101 13.45 9.85 9.96
10 16 55.4 73 23 54 136.29 39.47 1.95 1.03 8.17 29.61 2756 41.41 10.78 10.91
10 16 33.5 21 7 27 214.02 54.3 0.66 1.3 9.2 16.78 1302 22.34 10.05 10.2
10 18 12.1 41 25 53 178.33 55.62 0.93 1.32 8.72 28.58 593 12.58 9.72 9.8
