STREAM.ID IBI.BUG YEAR LAT.DD LON.DD PHSTVL ANC log.COND log.CL log.SO4 log.PTL log.NTL xcdenbk w1.hall pct.fast xslope lsub.dmm lrbs.bw5 RH.XMET log.WSAREA ELEV.X SLOPMEAN log.POPDENKM FOR.NLCD AG.NLCD log.URB.NLCD log.MINENLCD
MAIA97-019 53.7002810 1997 38.87437 79.01342 6.90   510.99 4.374498 3.758903  5.232583 2.1972246 5.942799 100.0000000 0.00000000   1.8181818  2.5000000  2.166036716  0.070489954 12.000000  2.38858846  462 13.2 0.9034081  99.194421  0.354678 0.0632705301 0.0000000000
MAIA97-021 85.9697586 1997 38.97861 78.66503 7.46   786.01 4.572647 3.162798  4.929478 1.9459101 5.683580  76.7379679 1.18939545  73.0000000  0.5500000  1.310046731  0.006282755 14.000000  3.37970132  518  9.3 0.8002063  91.459200  7.508384 0.0242261624 0.0000000000
MAIA97-022 80.9282053 1997 38.53128 79.83602 8.22   545.41 4.382027 4.764088  4.504249 1.6094379 5.648974  75.4010695 0.87881364  65.0000000  1.4500000  2.183687448  0.124856392 14.250000  5.85548674  827  8.5 1.2731257  94.957653  2.682264 0.1361886091 0.0000000000
MAIA97-023 54.2227926 1997 38.87043 80.61419 7.44  1409.30 5.235378 5.569979  5.450756 2.7725887 5.560682  96.7914439 1.95459091  14.0000000  1.2000000  1.373699711 -0.551858938 11.750000  4.25228804  244  9.2 1.9805876  94.086056  5.383914 0.3920184388 0.0000000000
MAIA97-024 47.0634356 1997 39.07344 80.96407 7.73  1001.08 5.031744 5.231893  5.754311 2.1972246 5.407172  79.6791444 1.25761818  50.0000000  1.7000000  2.808091329  0.948189323 13.500000  3.43582101  245  4.1 1.6142264  78.478705 21.402481 0.0229183566 0.0000000000
MAIA97-026 51.7685488 1997 39.15928 80.13240 8.08  3675.26 7.513164 4.078611  9.852099 3.2580965 6.154858  72.1362229 0.60000000          NA         NA -2.110922507           NA  7.333333  2.41854424  365  5.6 1.7895905  75.762403 13.428969 0.2409803260 2.3622917407
MAIA97-027 76.4728796 1997 38.96838 80.15379 7.73   558.02 6.113682 5.058006  8.215831 1.0986123 6.196444  95.1871658 0.77274545  56.0000000  0.3900000  1.978853062  0.739501747 14.000000  3.63532307  488  5.1 3.0530101  81.466912 16.744041 0.0554072704 0.5642524506
MAIA97-028 73.9624189 1997 40.03020 80.13970 8.16  3098.72 6.135565 6.518088  6.995755 2.1972246 5.159055  90.1069519 1.96218636  18.0000000  0.1800000  1.065010716           NA 10.250000  4.21784898  308  4.2 3.7973975  50.217916 47.498352 1.1774271659 0.0013251216
MAIA97-031 20.7940942 1997 40.07396 79.91297 8.44  3813.44 6.783325 5.862780  8.637671 3.0445224 5.683580  51.8716578 2.21216364  57.0000000  1.0000000  1.649032832  0.040433895 12.583333  1.96062985  248  5.7 3.6086180  62.339716 37.567975 0.0786937983 0.0000000000
MAIA97-033 60.1153036 1997 39.02200 76.85493 7.07   437.00 5.036303 6.148757  5.819875 3.9318256 7.657283 100.0000000 0.33335000  32.0000000  1.3250000 -0.441815559 -2.032588109 16.583333  2.82485498   30  0.8 5.2409054  59.994580 11.834473 3.0790605931 1.3634138370
MAIA97-034 35.3935580 1997 39.24888 76.84530 7.54  1428.67 5.680173 6.869125  5.384333 3.5553481 7.655864 100.0000000 0.00000000 100.0000000  0.8000000 -0.521551761 -2.249366177 14.583333  3.37035666  106  1.2 5.7698542  34.932234 46.109861 2.8769061128 0.0000000000
MAIA97-039 64.5696206 1997 40.13826 78.55219 7.88  1399.70 5.594711 5.376982  6.874893 4.0073332 7.097549  99.7326203 2.39400000  16.0000000  0.4190000  1.275664978 -0.115992016 13.166667  5.80730520  364  5.6 3.0157310  69.321383 29.740907 0.4266922106 0.0274799439
MAIA97-041 74.7230980 1997 39.67831 78.33032 7.58   866.13 5.134621 6.220137  5.397428 1.7917595 5.638355  94.3850267 0.33335000  26.0000000  1.2000000  2.578628696  0.778627968 16.250000  5.51964968  185  5.1 1.9543034  75.602177 22.343431 0.4871470868 0.0000000000
MAIA97-042 68.8361702 1997 39.87674 78.85949 7.29   308.31 4.291828 4.866460  5.233916 2.3978953 6.118097  70.5882353 2.38338500  38.0000000  0.6000000  1.311815330 -0.310531170 11.416667  3.32090159  596  6.4 1.7526721  88.450000 10.690000 0.0487901642 0.3784364357
MAIA97-043 31.2932111 1997 40.03567 76.99840 7.80  1708.27 5.579730 5.974727  6.294126 4.3944492 7.123673  94.1176471 0.00000000   0.0000000  0.2835000  0.537449761 -0.069434325 12.916667  1.99227561  151  1.6 3.7959385  22.251177 77.440698 0.0491320105 0.0000000000
MAIA97-044 15.5026938 1997 39.82773 76.98685 7.80  1998.10 5.648974 6.005025  5.511864 4.4886364 7.952615  87.7005348 1.84857727  20.6666667  0.1600000 -0.785832506 -1.079836052 10.333333  1.20875137  182  2.3 4.4655632  21.556718 76.293580 0.9288763991 0.0000000000
MAIA97-045 64.6896000 1997 39.63826 77.38130 8.04  1059.10 5.181222 6.104910  4.943974 2.3978953 7.002156 100.0000000 0.66670000  56.0747664  1.2750000  2.102056193  0.246252829 16.666667  3.67813696  125  6.2 3.2932038  80.353294 18.226243 0.2597022629 0.0000000000
MAIA97-046 18.8437657 1997 39.96023 77.73093 7.54  2608.27 5.894403 6.446361  6.020282 4.8903491 7.780303  76.4705882 2.65915909  30.0000000  0.4500000  0.191896355 -0.677597149  9.666667  3.93855003  167  1.8 3.4488440  34.883309 51.203882 2.5978851994 0.0000000000
MAIA97-047 75.9547983 1997 40.32867 77.49899 7.82   263.09 4.050044 3.730901  5.156498 1.9459101 6.016157  43.8502674 2.78795000  43.0000000  0.5375000  0.822598968 -0.169574131 15.500000  3.72804488  213  7.9 1.5009614  92.529496  5.388787 0.0107648505 0.0000000000
MAIA97-049 64.6384822 1997 38.74394 77.91816 7.21   408.56 4.234107 4.829964  4.095439 2.7080502 7.137278  72.7272727 0.68181818  59.0000000  0.5000000 -0.604322133 -2.013163393  6.416667  3.67691314  124  3.0 2.6644466  58.063900 40.009677 1.0549296091 0.0000000000
MAIA97-052 61.2707566 1997 39.23177 78.26489 7.86  2935.23 5.726848 5.034049  5.371837 2.3978953 5.897154  90.1069519 1.69698182  15.4545455  0.5100000  1.307993468 -0.221789461  9.416667  4.35231457  215  4.2 3.6665060  81.602526 16.347452 0.6274640046 0.0587857557
MAIA97-054 37.3472378 1997 41.65281 79.94046 7.27   905.11 5.025852 5.152893  5.472768 3.9702919 7.687539  98.1283422 0.00000000  32.6666667  1.0050000  1.178254452  0.706163381 15.333333  1.69096260  454  0.8 2.6196561  84.004816 15.961937 0.0165188101 0.0000000000
MAIA97-055 49.1020860 1997 41.87141 80.03431 7.49   786.50 4.743191 3.955801  5.543479 1.0986123 6.111467  92.3529412 1.10003500  75.5905512  2.1777778  0.517653538 -0.945025551 15.166667 -0.07806966  408  2.7 3.1707774  80.972706 19.027294 0.0000000000 0.0000000000
MAIA97-057 16.9770329 1997 40.50227 78.51500 3.05  -891.00 6.492240 3.631458  8.422206 2.3025851 2.708050  98.6631016 1.12880909  74.0000000  6.3500000  2.615704834  0.448274008 13.583333  1.49875213  610  3.3 2.2726412  97.608487  0.100533 0.1560374701 1.1385087350
MAIA97-059 23.8142184 1997 40.58018 79.36986 4.82   -23.70 7.253470 5.400558  9.738288 1.0986123 5.680173  93.0481283 1.37123182  47.0000000  0.8650000  1.120696526 -0.080464055 13.166667  2.19566781  335  3.3 2.4385136  70.101317 27.137844 0.5077111789 1.1016792474
MAIA97-060 54.5203782 1997 40.94930 79.32031 8.01   772.51 5.852202 6.251940  7.541562 1.0986123 6.584791  82.3529412 2.31824545  49.0000000  0.5600000  1.448130189  0.013873804 16.000000  6.91882844  305  4.0 3.3374408  70.219433 26.707400 0.7411765792 1.0192768308
MAIA97-063 46.5006840 1997 40.64656 78.19799 8.08  1808.73 5.955837 6.555446  6.981275 6.5708830 7.777374  90.6417112 2.38640000  40.0000000  1.1000000  1.634396943 -0.183000357 15.666667  6.13603015  274  5.9 4.6796095  80.624643 13.531568 1.8027948548 0.3713352545
MAIA97-064 19.0476190 1997 40.98032 78.08605 3.22  -603.00 6.923629 5.807041  9.115415 1.0986123 6.084499  95.4545455 0.66670000  63.0000000  1.4000000  2.278266238  0.414524971 18.000000  6.22108309  382  3.2 3.6881042  79.129812  8.761498 1.0274606602 2.2886815856
MAIA97-065 12.0356576 1997 40.46314 77.06206 6.88   167.93 3.449988 3.221877  4.588570 2.7725887 5.683580  98.9304813 0.00000000  61.3333333  1.6800000  0.677514413 -0.922208891 14.000000 -0.47626318  215  5.6 3.0133266  90.395907  9.604092 0.0000000000 0.0000000000
MAIA97-066 68.1147833 1997 40.78361 78.67608 7.84  1158.20 6.711740 6.095422  8.887306 1.3862944 6.111467  85.5614973 0.67426818  25.0000000  0.4925000  0.651351735 -0.654517758 14.083333  5.47484551  426  3.7 3.7532148  69.618971 26.048908 0.8597817542 1.3531312436
MAIA97-067 57.8347245 1997 41.27589 78.09131 6.47    20.44 3.401197 2.803391  5.207593 2.7080502 5.583496  98.3957219 0.00000000  88.8888889  9.7600000  2.602806437  0.199955856 16.833333  0.98521960  463  3.8 0.3169981 100.000000  0.000000 0.0000000000 0.0000000000
MAIA97-069 30.7271712 1997 41.13866 78.96155 7.42   475.93 5.717028 6.978882  7.030751 2.4849066 6.891626  93.8502674 1.33340000  48.0000000  0.7000000  1.109987976  0.027267014 12.583333  2.06905024  484  2.8 2.7502153  50.921571 40.900551 2.0218562573 0.9027608139
MAIA97-070 67.5984983 1997 41.56781 79.27860 7.71   353.56 4.222445 4.428097  5.148428 2.5649494 5.736572  97.0588235 0.00000000  42.0000000  1.0600000  0.982852853 -0.056277353 15.166667  2.36921518  428  3.9 0.5038010  97.955162  0.453254 0.0249462390 0.0000000000
MAIA97-071 61.1983352 1997 41.78699 78.92063 7.34   171.23 3.763523 2.939057  5.112978 2.3025851 6.236370 100.0000000 0.00000000  73.0000000  3.9360000  1.392120757 -0.217485248 16.666667  1.05452107  462  7.8 0.0000000  99.317988  0.619308 0.0000000000 0.0000000000
MAIA97-072 74.1733534 1997 40.64326 80.33524 8.58  1437.56 7.350516 7.601877  9.585970 3.4011974 7.434848  90.9090909 0.96215909  51.0000000  1.4900000  1.359334803 -0.258603127 16.666667  6.15777676  267  3.3 4.0535399  67.799164 25.737964 1.5564701643 1.1457493412
MAIA97-073 18.9526241 1997 40.34670 80.16540 6.61  1363.59 7.083388 7.441186  9.129299 3.4339872 6.436150  95.9893048 2.19703636  40.0000000  0.6000000  1.485812447  0.218703305 12.000000  4.04693844  274  3.0 4.4985311  50.574913 43.842338 1.8242973248 0.3033792250
MAIA97-074 63.8870087 1997 40.15994 80.65725 8.31  4574.96 8.185907 8.775032 10.260086 1.9459101 5.493061  88.2352941 2.71220909  44.5454545  1.5000000  1.637895426 -0.371488794 11.333333  3.88548189  257  4.7 4.3775165  59.879958 35.750457 1.3181616553 0.8607928210
MAIA97-075 95.3521870 1997 42.21907 74.96661 7.69   620.59 5.075174 6.328242  5.396013 4.2341065 6.851185  65.7754011 2.15160455  11.0000000  0.6500000  1.556802093  0.057471505 16.916667  6.36894522  397  7.2 2.8888150  75.394201 23.170949 0.7475794931 0.0029267130
MAIA97-077 81.5319115 1997 42.18800 75.23602 7.21   308.14 4.125520 4.080519  5.142241 2.4849066 6.545350 100.0000000 1.10176645  57.0000000  1.9750000  1.238090337 -0.905488771 14.166667  1.12651924  484  4.4 2.2451678  78.069800 21.842678 0.0287565388 0.0000000000
MAIA97-080 21.9906658 1997 41.73046 77.08271 4.04  -104.15 5.590987 4.877262  7.644106 2.0794415 5.662960  22.1925134 0.28788636  41.0000000  1.2350000  2.014442555 -0.058657913 14.750000  5.49466551  373  3.8 2.4916340  93.108306  3.453015 0.5900812525 0.9311868320
MAIA97-081 91.1507482 1997 41.51439 77.75489 7.61   351.46 4.155753 4.439812  5.017053 1.6094379 5.846439  72.4598930 0.24243636  52.0000000  0.7700000  1.935669971  0.585335654 15.750000  5.31491732  368  7.7 0.7659329  94.074207  5.709977 0.0218877069 0.0000000000
MAIA97-082 91.2973738 1997 41.47097 77.25213 7.69   362.38 4.359270 4.804409  5.278961 1.6094379 5.796058  69.2513369 0.21213182  73.0000000  1.2050000  2.228992274  0.131514141 18.750000  5.53593723  334  5.9 1.9139771  78.353566 21.235603 0.2269148311 0.0000000000
MAIA97-083 27.7696180 1997 41.04214 76.86914 7.89  2534.60 5.771441 6.039015  5.725597 3.1780538 7.106606  91.4438503 2.36372273  16.6666667  0.4450000  0.670812894 -0.239255595  9.666667  2.24418238  152  1.6 4.2773603  22.928503 76.482195 0.4266093187 0.0000000000
MAIA97-084 42.1806413 1997 40.68165 76.55244 7.53   476.17 4.794136 5.353504  5.290569 3.8286414 8.117014  88.5026738 1.90156364  23.0000000  0.5000000  0.194441699 -0.904692548  8.583333  3.47596775  221  5.1 2.6516209  51.946810 46.683983 0.3425196285 0.0000000000
MAIA97-085 58.9915166 1997 40.71237 75.91028 7.28   450.29 4.753590 5.360287  5.183481 4.1896547 8.107117  90.9090909 2.03038182  43.3333333  0.6225000  0.727977223 -0.261122108 13.083333  1.48010341  244  3.4 3.0680994  35.838089 63.594346 0.0540733265 0.0000000000
MAIA97-086 49.3873805 1997 41.06353 76.33791 7.90   687.21 4.774069 5.518595  4.620034 3.2188758 7.355002  93.5828877 1.80310455  44.0000000  1.2400000  0.952443575 -0.397002307 11.166667  2.41283762  212  6.4 3.7835531  59.596060 40.244553 0.0531643928 0.0000000000
MAIA97-087 21.6666667 1997 40.81745 74.98347 7.63  1026.03 5.407172 6.355854  6.153421 3.2958369 6.483107  60.9625668 1.34093182   0.0000000  0.5000000 -2.110922507 -3.682397590  8.500000  2.66657522  136  4.5 4.9771337  71.705892 15.914601 1.9116916013 0.0000000000
MAIA97-089 62.3830595 1997 40.54297 75.55333 8.04  2866.42 5.937536 5.906559  5.994515 2.4849066 8.649624  83.6898396 3.25009545  12.0000000  0.1300000  0.147215257 -0.451210396 10.750000  4.86132599  122  1.4 4.9632012  23.854391 68.768931 2.0419137248 0.0000000000
MAIA97-090 75.8918095 1997 41.22226 74.82151 8.08  2079.01 5.771441 6.852929  5.470579 3.4657359 6.061457  95.4545455 2.30307273  35.0000000  1.2500000  1.174653588 -0.757734405 14.583333  3.39371278  183  3.3 3.4303030  74.766859 14.628177 1.1835191472 0.0000000000
MAIA97-091 78.8189106 1997 41.88142 76.30861 7.36   657.47 4.911919 5.827021  5.574440 2.8903718 5.655992  59.8930481 0.80305000  20.0000000  0.5000000  1.674452644  0.746508838 12.500000  3.77247814  276  4.7 2.4269244  60.640781 38.724392 0.1096567735 0.0000000000
MAIA97-093 57.3938653 1997 41.68439 76.13362 7.59   714.70 4.776599 4.948372  5.323498 2.8332133 5.683580  52.6737968 0.00000000  16.0000000  0.2000000  1.360795284  0.934835216 16.166667  4.03596128  243  4.6 2.4676757  62.696208 35.484667 0.1584898235 0.0000000000
MAIA97-095 85.0154079 1997 41.75450 75.40168 7.63  1098.93 4.989752 4.789508  4.821488 4.1431347 6.654153  91.4438503 0.00000000  38.3838384  0.9400000  1.732164260  0.308841452 17.333333  2.53269631  503  2.7 2.1729319  76.198643 23.272255 0.0757102592 0.0000000000
MAIA97-096 37.7430718 1997 40.44152 75.15577 7.96   725.19 5.238036 6.400727  5.911172 3.2188758 5.739793  95.7219251 1.04550000  12.0000000  0.1300000  0.744725916  0.267307299 17.833333  5.38822754   94  0.9 4.8685647  60.715759 28.848546 1.6277718146 0.0128530446
MAIA97-097 35.2110357 1997 40.08056 74.73776 6.53   158.34 5.165928 6.252592  6.620876 3.7841896 6.818924  99.4652406 0.39395909  14.0000000  0.3380000 -1.338640500 -2.310823171 12.000000  3.03539039   27  0.4 4.2403046  24.227055 63.140984 1.8469155186 0.0000000000
MAIA97-101 80.2158873 1997 40.26848 75.89581 7.80   874.65 5.091293 5.866303  5.663910 3.6109179 6.796824  96.2566845 3.07585000  21.0000000  0.5000000  0.570260572 -0.630503003 13.500000  3.69163815   91  2.9 4.5152564  66.757763 29.268345 1.2635480287 0.0000000000
MAIA97-103 15.0000000 1997 39.79733 75.15401 7.39   702.49 4.925803 5.958025  5.190347 3.6375862 6.714171 100.0000000 2.67433182  30.0000000  0.6500000 -0.531314701 -1.464142262 11.750000  0.64841129   30  0.0 7.0458811  31.082994  7.810788 4.1081753741 0.0000000000
MAIA97-105 78.3731916 1997 40.24999 76.03519 8.18  1359.04 5.455321 5.966086  5.730676 3.4657359 7.742402  92.7807487 0.97731818  26.0000000  0.7950000  1.080809067 -0.233325677 16.333333  2.41865110  180  2.6 4.7563106  48.104023 49.768431 0.4528835382 0.0000000000
MAIA97-107  0.0000000 1997 42.00248 80.17445 8.69  2464.40 6.018593 6.952505  6.473604 2.3978953 5.517453  53.7433155 0.66668636  12.0000000  0.7300000  3.239680637  1.463698604 15.916667  4.45860103  290  2.0 3.9632293  52.385030 43.207864 1.4971686977 0.0000000000
MAIA97-108  0.0000000 1997 35.18294 77.21856 5.71   106.45 3.985273 5.479130  4.294375 3.1354942 6.086775  48.3957219 1.50000000   0.0000000  0.1000000 -2.110922507 -2.350438507  5.333333  1.05858859   15  0.0 1.9319561  92.596340  0.342879 0.0000000000 0.0000000000
MAIA97-109 37.5900438 1997 36.89469 78.13622 7.19   393.70 4.144721 4.731563  3.890755 3.7612001 6.315358  93.0481283 0.77272727  59.0000000  1.3100000  0.757196410 -0.885119178 17.166667  2.19364038   91  1.6 1.9487632  47.067634 51.316790 0.0000000000 0.0000000000
MAIA97-111 65.7506779 1997 36.91085 78.37438 7.20   896.88 4.604170 4.451392  3.229011 2.8332133 4.418841  97.5935829 0.25758182  41.0000000  1.8150000  0.918124954 -0.786102213 16.416667  1.28865397  134  0.8 1.6878793  67.643248 27.184775 0.0000000000 0.0000000000
MAIA97-115  6.6584520 1997 36.59073 77.20374 6.93   963.11 6.719013 7.221408  8.562852 4.2195077 8.565983  97.8609626 0.96215909   2.0202020  0.2000000 -0.566358493 -1.835334604 14.333333  3.91369960   13  0.2 2.5130081  35.001168 47.660313 0.6401972516 0.0000000000
MAIA97-122 15.8610633 1997 36.02301 77.22692 6.93  1291.69 5.011302 5.305668  3.539111 4.1588831 7.150701  96.7914439 0.52273636   0.0000000  0.1000000 -2.110922507 -2.625170303 11.750000  3.40003671   13  0.0 0.3126186   7.094757  1.683974 0.0000000000 0.0000000000
MAIA97-126 74.3196925 1997 37.40324 77.87122 7.80   814.77 4.640537 4.900412  4.226194 2.3978953 5.560682  99.4652406 0.40153182   0.0000000  1.0000000 -1.120622273 -2.951664697 11.916667  7.56154819   61  0.9 2.7849495  72.150000 19.720000 0.6729444732 0.0198026273
MAIA97-130 56.9270744 1997 37.99416 78.72319 7.44   292.00 3.841601 4.152685  3.958982 3.0445224 5.799093  73.5294118 1.56825000  65.0000000  3.7550000  1.702046598 -0.541204997 17.416667  2.01708730  195  6.8 2.6507741  87.572006 11.794936 0.2420391007 0.0000000000
MAIA97-131 39.0128097 1997 37.81049 79.20654 7.08   113.57 2.975530 2.984287  3.219069 2.7080502 5.823046 100.0000000 0.15384615  73.0000000  3.9000000  2.801367005  0.791987211        NA  1.97969026  580 10.9 0.2437302  99.987569  0.012430 0.0000000000 0.0000000000
MAIA97-132 57.7344416 1997 38.41947 79.26957 7.03    57.38 2.821379 2.685608  4.180137 0.6931472 5.686975  97.3262032 0.12121818  88.1818182  2.3000000  2.200013699  0.120942577 16.500000  1.91257494  918 10.0 0.0000000  99.973414  0.026586 0.0000000000 0.0000000000
MAIA97-133 35.3518811 1997 38.31368 80.20195 7.79   462.10 4.182050 3.718656  4.687837 2.3978953 6.327937 100.0000000 0.00000000  52.0000000  1.0500000  2.055465678  0.632398122 15.250000  3.07362344  930  6.8 1.3877932  73.232990 26.172069 0.0041543587 0.0000000000
MAIA97-134 44.7381622 1997 37.52487 78.53958 7.37   480.41 4.056989 3.874272  3.515868 2.7080502 4.736198  97.5935829 0.07575909  37.0000000  2.0260000  0.724869355 -1.161040605 16.083333  1.80576099  152  1.0 2.1667654  85.684941  9.997628 0.0000000000 0.0000000000
MAIA97-135 62.1013126 1997 37.42200 79.01995 7.88  1313.89 4.906755 3.711788  4.025455 2.9444390 4.644391  96.7914439 0.40153182  34.0000000  2.2500000  0.734056483 -1.215600312 17.416667  2.05805191  152  2.8 2.4510051  97.578984  0.970837 0.1933711183 0.0000000000
MAIA97-136 55.2819730 1997 37.57869 79.42467 6.87   101.31 3.173878 2.968471  4.347485 2.1972246 5.513429  98.9304813 0.00000000  66.0000000 11.2525000  2.023260712 -0.679175137 18.166667  0.11136247  453 18.9 0.6381629 100.000000  0.000000 0.0000000000 0.0000000000
MAIA97-137 37.3869964 1997 37.06561 78.58808 7.35   743.43 4.445001 4.264587  3.451330 3.2188758 5.459586  96.7914439 0.45455000  21.0000000  1.2375000 -0.424267545 -2.044393035 16.250000  2.88083195  121  0.5 1.8968700  80.851203 13.377415 0.0940184368 0.0000000000
MAIA97-138 78.9831786 1997 37.30542 78.32453 7.58   884.08 4.701389 4.987424  3.978262 3.0445224 5.733341  95.9893048 0.33335000   8.0000000  0.9500000 -0.850540391 -2.465323917 13.666667  5.99301335   91  0.9 2.5456881  77.202617 14.377507 0.6429680022 0.0895454136
MAIA97-140 53.6739006 1997 37.93761 78.06051 7.41   854.28 4.585987 4.416923  3.937700 5.5606816 6.690842 100.0000000 0.00000000  63.0000000  0.4350000  0.948687498  0.444172450 13.166667  2.91841377  122  0.8 2.9495836  73.778773 18.775909 1.8031880798 0.0000000000
MAIA97-141 21.3175085 1997 38.35950 78.75774 7.58  5170.00 6.391917 6.381291  6.384273 3.4339872 7.870930  68.9839572 1.50000000  18.0000000  2.3875000  0.387055994 -1.460732632  9.833333  1.56280741  335  4.5 3.1451001  54.542698 42.828360 1.1909966774 0.0000000000
MAIA97-142 41.1625282 1997 38.39345 77.84732 7.34   816.17 4.628887 4.882192  3.316572 4.7273878 7.473069  32.6203209 1.36363636  37.0000000  0.1500000 -1.916512467 -2.315249228  3.916667 -0.66164851   88  0.6 2.6715245  48.271238 51.554340 0.0000000000 0.0000000000
MAIA97-143 26.9651887 1997 37.90108 77.44805 6.00    38.85 3.306887 4.690461  3.878774 3.2958369 5.780744 100.0000000 1.50000000  94.0000000  0.3994000  0.816019801  0.128428223 16.333333 -0.30218676   36  1.3 3.3802461  87.084799 12.051570 0.0000000000 0.0000000000
MAIA97-144 47.2175726 1997 38.37502 77.44502 6.82   306.53 4.436752 5.598586  5.014291 3.0445224 5.973810  97.0588235 0.33335000  16.0000000  0.3200000  0.495563539 -0.803158224 14.583333  4.54499546   22  1.3 3.4264752  67.802898 28.106106 1.0793112156 0.0560532478
MAIA97-147 60.0805238 1997 38.43588 76.98785 7.13   122.53 5.294811 7.191659  4.613242 3.1780538 7.512071 100.0000000 0.00000000  97.0000000  1.6000000  1.709461662  1.322493430 12.000000 -0.41672830   34  0.6 3.3419073  57.786728 13.558780 3.3896136148 0.0000000000
MAIA97-151  8.3108645 1997 37.68128 76.84765 7.18   608.54 4.350278 4.622134  3.415719 4.4067192 5.860786 100.0000000 0.00000000  93.9393939  0.4684000 -0.460422117           NA 10.333333  1.55303686   28  0.1 0.8188984  94.075848  2.178784 0.0734168048 0.0000000000
MAIA97-152  2.7777778 1997 37.46931 75.86327 5.87   374.66 5.191845 5.998185  6.062466 6.2915691 7.016610 100.0000000 3.15916364   0.0000000  0.1000000 -2.110922507 -2.527487479  8.666667 -1.04810931   12  0.3 4.0125197  13.782161 85.158188 0.7225365510 0.0000000000
MAIA97-154 55.0242058 1997 36.79839 82.75262 7.10   299.89 3.822098 2.662261  4.628816 2.5649494 5.894403  99.1978610 0.83335000  68.0000000  6.2675000  1.663331774 -0.680003782 19.000000  1.38040204  792  9.7 0.0000000  99.977367  0.022633 0.0000000000 0.0000000000
MAIA97-156 44.6010187 1997 37.19415 82.47686 8.58  1058.30 5.051777 5.889214  4.427942 1.3862944 5.003946  91.9786096 0.70454545  47.0000000  2.3375000  1.114159316 -0.656501408 12.083333  1.72611812  490  8.1 2.4107218  97.632857  2.367143 0.0000000000 0.0000000000
MAIA97-157 64.3008128 1997 36.91701 81.67435 7.31  2000.35 5.402677 4.467058  5.498490 2.7725887 6.324359  58.2887701 1.56062727  11.0000000  1.7590000  1.784298013 -0.222731724 15.166667  6.22592522  546  9.4 1.6052291  75.007763 24.623049 0.0547608754 0.0000000000
