salary average obp runs hits doubles triples homeruns rbis walks sos sbs errors freeagent arbitration runsperso hitsperso hrsperso rbisperso walksperso obppererror runspererror hitspererror hrspererror soserrors sbsobp sbsruns sbshits
365 0.208 0.265 12 35 11 1 0 15 14 30 2 7 0 0 0.4 1.1667 0 0.5 0.4667 0.0379 1.7143 5 0 210 0.53 24 70
302 0.238 0.347 83 134 15 4 10 51 95 151 56 28 0 0 0.5497 0.8874 0.0662 0.3377 0.6291 0.0124 2.9643 4.7857 0.3571 4228 19.432 4648 7504
300 0.267 0.31 73 149 23 9 6 39 34 89 76 7 0 0 0.8202 1.6742 0.0674 0.4382 0.382 0.0443 10.4286 21.2857 0.8571 623 23.56 5548 11324
129 0.353 0.435 16 48 12 2 2 18 20 22 0 6 0 0 0.7273 2.1818 0.0909 0.8182 0.9091 0.0725 2.6667 8 0.3333 132 0 0 0
111 0.213 0.222 4 13 4 1 1 8 1 18 0 1 0 0 0.2222 0.7222 0.0556 0.4444 0.0556 0.222 4 13 1 18 0 0 0
6100 0.302 0.391 102 174 44 6 18 100 90 67 2 16 1 0 1.5224 2.597 0.2687 1.4925 1.3433 0.0244 6.375 10.875 1.125 1072 0.782 204 348
4125 0.26 0.321 69 150 23 1 19 96 55 74 10 8 1 0 0.9324 2.027 0.2568 1.2973 0.7432 0.0401 8.625 18.75 2.375 592 3.21 690 1500
3213 0.255 0.347 45 71 7 5 1 17 39 47 37 4 1 0 0.9574 1.5106 0.0213 0.3617 0.8298 0.0867 11.25 17.75 0.25 188 12.839 1665 2627
2319 0.259 0.349 108 146 34 4 38 117 78 120 30 32 1 0 0.9 1.2167 0.3167 0.975 0.65 0.0109 3.375 4.5625 1.1875 3840 10.47 3240 4380
2000 0.223 0.307 43 84 10 4 10 40 36 56 7 5 1 0 0.7679 1.5 0.1786 0.7143 0.6429 0.0614 8.6 16.8 2 280 2.149 301 588
1600 0.225 0.31 44 96 9 3 0 31 50 69 8 16 1 0 0.6377 1.3913 0 0.4493 0.7246 0.0194 2.75 6 0 1104 2.48 352 768
1394 0.258 0.381 58 108 23 0 4 51 83 50 1 6 1 0 1.16 2.16 0.08 1.02 1.66 0.0635 9.6667 18 0.6667 300 0.381 58 108
935 0.275 0.351 40 70 16 4 4 21 30 42 15 4 1 0 0.9524 1.6667 0.0952 0.5 0.7143 0.0878 10 17.5 1 168 5.265 600 1050
850 0.327 0.424 60 141 14 3 0 54 75 38 4 21 1 0 1.5789 3.7105 0 1.4211 1.9737 0.0202 2.8571 6.7143 0 798 1.696 240 564
775 0.272 0.3 18 62 14 2 5 35 9 19 0 4 0 1 0.9474 3.2632 0.2632 1.8421 0.4737 0.075 4.5 15.5 1.25 76 0 0 0
760 0.241 0.32 33 84 16 2 6 36 40 53 2 15 0 1 0.6226 1.5849 0.1132 0.6792 0.7547 0.0213 2.2 5.6 0.4 795 0.64 66 168
629 0.293 0.355 32 79 17 0 1 30 24 43 2 1 0 0 0.7442 1.8372 0.0233 0.6977 0.5581 0.355 32 79 1 43 0.71 64 158
275 0.257 0.315 51 96 10 1 6 34 33 57 13 9 0 0 0.8947 1.6842 0.1053 0.5965 0.5789 0.035 5.6667 10.6667 0.6667 513 4.095 663 1248
120 0.225 0.33 7 20 2 0 0 5 14 19 1 3 0 0 0.3684 1.0526 0 0.2632 0.7368 0.11 2.3333 6.6667 0 57 0.33 7 20
2567 0.196 0.297 36 56 12 0 12 42 41 66 5 9 0 1 0.5455 0.8485 0.1818 0.6364 0.6212 0.033 4 6.2222 1.3333 594 1.485 180 280
2500 0.252 0.309 66 137 33 1 28 81 48 93 1 6 1 0 0.7097 1.4731 0.3011 0.871 0.5161 0.0515 11 22.8333 4.6667 558 0.309 66 137
2350 0.294 0.367 84 158 27 6 21 92 67 100 7 4 1 0 0.84 1.58 0.21 0.92 0.67 0.0918 21 39.5 5.25 400 2.569 588 1106
2317 0.297 0.391 48 73 13 5 3 12 37 20 24 5 1 0 2.4 3.65 0.15 0.6 1.85 0.0782 9.6 14.6 0.6 100 9.384 1152 1752
2000 0.258 0.288 46 86 7 4 12 40 12 57 5 10 1 0 0.807 1.5088 0.2105 0.7018 0.2105 0.0288 4.6 8.6 1.2 570 1.44 230 430
715 0.205 0.268 21 36 5 3 1 11 16 36 7 4 1 0 0.5833 1 0.0278 0.3056 0.4444 0.067 5.25 9 0.25 144 1.876 147 252
660 0.272 0.304 38 82 21 3 9 49 14 49 0 10 0 1 0.7755 1.6735 0.1837 1 0.2857 0.0304 3.8 8.2 0.9 490 0 0 0
650 0.243 0.344 20 45 12 0 0 15 30 30 3 5 1 0 0.6667 1.5 0 0.5 1 0.0688 4 9 0 150 1.032 60 135
260 0.337 0.413 13 32 5 0 0 12 13 14 0 1 0 0 0.9286 2.2857 0 0.8571 0.9286 0.413 13 32 0 14 0 0 0
250 0.228 0.238 12 36 4 1 1 11 2 26 0 3 0 0 0.4615 1.3846 0.0385 0.4231 0.0769 0.0793 4 12 0.3333 78 0 0 0
200 0.24 0.3 51 92 16 3 13 50 31 73 9 4 0 0 0.6986 1.2603 0.1781 0.6849 0.4247 0.075 12.75 23 3.25 292 2.7 459 828
180 0.298 0.378 18 45 10 2 6 21 17 26 1 9 0 0 0.6923 1.7308 0.2308 0.8077 0.6538 0.042 2 5 0.6667 234 0.378 18 45
180 0.249 0.313 38 81 11 4 1 20 29 45 13 7 0 0 0.8444 1.8 0.0222 0.4444 0.6444 0.0447 5.4286 11.5714 0.1429 315 4.069 494 1053
5150 0.292 0.41 95 149 28 5 25 116 107 73 43 4 0 1 1.3014 2.0411 0.3425 1.589 1.4658 0.1025 23.75 37.25 6.25 292 17.63 4085 6407
4450 0.265 0.355 87 130 24 7 17 83 71 85 10 2 1 0 1.0235 1.5294 0.2 0.9765 0.8353 0.1775 43.5 65 8.5 170 3.55 870 1300
2000 0.265 0.306 53 133 16 6 3 54 30 56 7 10 0 1 0.9464 2.375 0.0536 0.9643 0.5357 0.0306 5.3 13.3 0.3 560 2.142 371 931
1850 0.289 0.351 25 97 11 2 3 41 33 27 2 2 1 0 0.9259 3.5926 0.1111 1.5185 1.2222 0.1755 12.5 48.5 1.5 54 0.702 50 194
1192 0.295 0.363 19 65 17 1 1 29 21 32 1 6 1 0 0.5938 2.0312 0.0312 0.9062 0.6562 0.0605 3.1667 10.8333 0.1667 192 0.363 19 65
875 0.27 0.33 96 164 32 8 16 67 52 99 10 25 0 1 0.9697 1.6566 0.1616 0.6768 0.5253 0.0132 3.84 6.56 0.64 2475 3.3 960 1640
825 0.246 0.324 45 62 12 2 7 24 28 39 17 7 1 0 1.1538 1.5897 0.1795 0.6154 0.7179 0.0463 6.4286 8.8571 1 273 5.508 765 1054
525 0.288 0.366 24 47 7 0 7 24 18 23 2 4 0 0 1.0435 2.0435 0.3043 1.0435 0.7826 0.0915 6 11.75 1.75 92 0.732 48 94
367 0.273 0.344 23 51 11 2 4 23 19 34 9 2 0 0 0.6765 1.5 0.1176 0.6765 0.5588 0.172 11.5 25.5 2 68 3.096 207 459
325 0.239 0.328 16 26 1 1 4 18 14 15 3 3 0 0 1.0667 1.7333 0.2667 1.2 0.9333 0.1093 5.3333 8.6667 1.3333 45 0.984 48 78
320 0.244 0.281 7 20 4 0 1 11 5 17 4 3 0 0 0.4118 1.1765 0.0588 0.6471 0.2941 0.0937 2.3333 6.6667 0.3333 51 1.124 28 80
150 0.275 0.373 83 113 17 2 10 50 64 81 8 13 0 0 1.0247 1.3951 0.1235 0.6173 0.7901 0.0287 6.3846 8.6923 0.7692 1053 2.984 664 904
113 0.34 0.381 15 36 7 0 0 7 7 17 3 7 0 0 0.8824 2.1176 0 0.4118 0.4118 0.0544 2.1429 5.1429 0 119 1.143 45 108
113 0.25 0.28 2 6 0 2 0 1 1 8 0 2 0 0 0.25 0.75 0 0.125 0.125 0.14 1 3 0 16 0 0 0
2425 0.272 0.326 41 116 12 1 8 70 37 46 4 17 1 0 0.8913 2.5217 0.1739 1.5217 0.8043 0.0192 2.4118 6.8235 0.4706 782 1.304 164 464
2367 0.219 0.268 34 82 13 2 9 33 23 86 5 10 1 0 0.3953 0.9535 0.1047 0.3837 0.2674 0.0268 3.4 8.2 0.9 860 1.34 170 410
2050 0.24 0.357 37 88 11 4 1 26 67 48 1 10 1 0 0.7708 1.8333 0.0208 0.5417 1.3958 0.0357 3.7 8.8 0.1 480 0.357 37 88
2000 0.285 0.38 96 157 30 3 3 50 83 36 35 9 1 0 2.6667 4.3611 0.0833 1.3889 2.3056 0.0422 10.6667 17.4444 0.3333 324 13.3 3360 5495
1617 0.307 0.368 55 100 16 5 6 34 32 53 16 3 1 0 1.0377 1.8868 0.1132 0.6415 0.6038 0.1227 18.3333 33.3333 2 159 5.888 880 1600
1167 0.24 0.3 29 58 8 4 6 36 22 34 15 6 1 0 0.8529 1.7059 0.1765 1.0588 0.6471 0.05 4.8333 9.6667 1 204 4.5 435 870
992 0.264 0.319 38 121 24 5 2 57 36 63 9 8 0 1 0.6032 1.9206 0.0317 0.9048 0.5714 0.0399 4.75 15.125 0.25 504 2.871 342 1089
400 0.227 0.26 21 47 10 2 1 15 10 29 12 3 0 0 0.7241 1.6207 0.0345 0.5172 0.3448 0.0867 7 15.6667 0.3333 87 3.12 252 564
315 0.305 0.36 69 173 40 6 8 77 50 113 20 4 0 0 0.6106 1.531 0.0708 0.6814 0.4425 0.09 17.25 43.25 2 452 7.2 1380 3460
315 0.28 0.353 76 158 36 3 11 81 62 94 17 26 0 0 0.8085 1.6809 0.117 0.8617 0.6596 0.0136 2.9231 6.0769 0.4231 2444 6.001 1292 2686
230 0.251 0.301 83 142 23 15 9 69 41 114 44 7 0 0 0.7281 1.2456 0.0789 0.6053 0.3596 0.043 11.8571 20.2857 1.2857 798 13.244 3652 6248
135 0.216 0.316 28 58 7 2 5 28 39 33 14 2 0 0 0.8485 1.7576 0.1515 0.8485 1.1818 0.158 14 29 2.5 66 4.424 392 812
130 0.243 0.322 38 45 8 3 5 17 18 45 15 7 0 0 0.8444 1 0.1111 0.3778 0.4 0.046 5.4286 6.4286 0.7143 315 4.83 570 675
3150 0.319 0.363 94 187 34 8 22 86 43 70 10 25 1 0 1.3429 2.6714 0.3143 1.2286 0.6143 0.0145 3.76 7.48 0.88 1750 3.63 940 1870
2785 0.297 0.371 81 119 10 1 0 26 47 40 72 4 1 0 2.025 2.975 0 0.65 1.175 0.0928 20.25 29.75 0 160 26.712 5832 8568
2700 0.251 0.338 101 141 35 3 32 105 71 104 34 7 0 1 0.9712 1.3558 0.3077 1.0096 0.6827 0.0483 14.4286 20.1429 4.5714 728 11.492 3434 4794
2400 0.253 0.313 32 67 12 0 11 45 25 31 0 4 1 0 1.0323 2.1613 0.3548 1.4516 0.8065 0.0782 8 16.75 2.75 124 0 0 0
1750 0.275 0.377 58 97 19 1 7 44 50 64 9 6 1 0 0.9062 1.5156 0.1094 0.6875 0.7812 0.0628 9.6667 16.1667 1.1667 384 3.393 522 873
1262 0.32 0.368 41 98 17 2 3 32 23 19 2 16 0 1 2.1579 5.1579 0.1579 1.6842 1.2105 0.023 2.5625 6.125 0.1875 304 0.736 82 196
940 0.259 0.358 49 91 14 3 11 54 54 59 5 18 0 1 0.8305 1.5424 0.1864 0.9153 0.9153 0.0199 2.7222 5.0556 0.6111 1062 1.79 245 455
555 0.275 0.377 67 109 25 1 21 87 65 81 8 8 0 0 0.8272 1.3457 0.2593 1.0741 0.8025 0.0471 8.375 13.625 2.625 648 3.016 536 872
500 0.249 0.296 36 88 9 2 0 27 22 63 3 19 0 1 0.5714 1.3968 0 0.4286 0.3492 0.0156 1.8947 4.6316 0 1197 0.888 108 264
370 0.188 0.243 13 30 7 0 5 14 11 42 1 9 0 1 0.3095 0.7143 0.119 0.3333 0.2619 0.027 1.4444 3.3333 0.5556 378 0.243 13 30
350 0.241 0.316 46 99 25 0 6 44 44 48 1 5 0 0 0.9583 2.0625 0.125 0.9167 0.9167 0.0632 9.2 19.8 1.2 240 0.316 46 99
148 0.242 0.284 7 23 6 0 4 23 6 20 1 4 0 0 0.35 1.15 0.2 1.15 0.3 0.071 1.75 5.75 1 80 0.284 7 23
146 0.251 0.296 32 68 16 1 12 50 17 48 0 9 0 0 0.6667 1.4167 0.25 1.0417 0.3542 0.0329 3.5556 7.5556 1.3333 432 0 0 0
4350 0.302 0.378 88 140 27 4 20 69 55 64 24 16 1 0 1.375 2.1875 0.3125 1.0781 0.8594 0.0236 5.5 8.75 1.25 1024 9.072 2112 3360
2833 0.28 0.359 51 101 12 2 6 35 46 39 5 8 1 0 1.3077 2.5897 0.1538 0.8974 1.1795 0.0449 6.375 12.625 0.75 312 1.795 255 505
2833 0.256 0.346 71 136 36 0 28 91 73 107 12 3 0 1 0.6636 1.271 0.2617 0.8505 0.6822 0.1153 23.6667 45.3333 9.3333 321 4.152 852 1632
2750 0.301 0.354 91 175 35 3 26 88 44 79 19 13 0 1 1.1519 2.2152 0.3291 1.1139 0.557 0.0272 7 13.4615 2 1027 6.726 1729 3325
1550 0.281 0.342 66 119 13 3 3 32 37 71 26 11 0 1 0.9296 1.6761 0.0423 0.4507 0.5211 0.0311 6 10.8182 0.2727 781 8.892 1716 3094
1300 0.234 0.301 13 36 5 0 6 19 16 39 0 7 0 1 0.3333 0.9231 0.1538 0.4872 0.4103 0.043 1.8571 5.1429 0.8571 273 0 0 0
1000 0.26 0.323 36 65 10 0 11 39 23 46 11 6 0 1 0.7826 1.413 0.2391 0.8478 0.5 0.0538 6 10.8333 1.8333 276 3.553 396 715
750 0.267 0.321 20 72 15 2 3 31 23 38 0 6 0 0 0.5263 1.8947 0.0789 0.8158 0.6053 0.0535 3.3333 12 0.5 228 0 0 0
430 0.318 0.374 72 152 33 1 14 59 46 61 10 10 0 0 1.1803 2.4918 0.2295 0.9672 0.7541 0.0374 7.2 15.2 1.4 610 3.74 720 1520
260 0.216 0.265 21 58 11 0 11 41 18 53 0 12 0 0 0.3962 1.0943 0.2075 0.7736 0.3396 0.0221 1.75 4.8333 0.9167 636 0 0 0
120 0.286 0.303 11 18 1 0 0 3 1 15 1 3 0 0 0.7333 1.2 0 0.2 0.0667 0.101 3.6667 6 0 45 0.303 11 18
1500 0.253 0.312 65 145 30 3 13 80 46 85 4 24 0 1 0.7647 1.7059 0.1529 0.9412 0.5412 0.013 2.7083 6.0417 0.5417 2040 1.248 260 580
1458 0.295 0.358 79 161 23 4 4 46 53 71 19 12 0 1 1.1127 2.2676 0.0563 0.6479 0.7465 0.0298 6.5833 13.4167 0.3333 852 6.802 1501 3059
1210 0.285 0.331 84 170 28 10 8 54 42 65 34 6 0 1 1.2923 2.6154 0.1231 0.8308 0.6462 0.0552 14 28.3333 1.3333 390 11.254 2856 5780
935 0.262 0.319 44 121 20 7 4 50 40 49 9 11 0 0 0.898 2.4694 0.0816 1.0204 0.8163 0.029 4 11 0.3636 539 2.871 396 1089
800 0.214 0.29 38 72 12 1 11 38 36 92 1 4 1 0 0.413 0.7826 0.1196 0.413 0.3913 0.0725 9.5 18 2.75 368 0.29 38 72
395 0.218 0.327 26 31 3 1 1 11 24 17 16 1 0 0 1.5294 1.8235 0.0588 0.6471 1.4118 0.327 26 31 1 17 5.232 416 496
350 0.294 0.387 79 163 26 4 15 82 75 116 7 13 0 0 0.681 1.4052 0.1293 0.7069 0.6466 0.0298 6.0769 12.5385 1.1538 1508 2.709 553 1141
285 0.254 0.32 51 120 28 9 13 69 40 101 10 6 0 0 0.505 1.1881 0.1287 0.6832 0.396 0.0533 8.5 20 2.1667 606 3.2 510 1200
139 0.243 0.27 27 61 13 2 9 36 9 74 4 19 0 0 0.3649 0.8243 0.1216 0.4865 0.1216 0.0142 1.4211 3.2105 0.4737 1406 1.08 108 244
133 0.153 0.227 11 18 6 0 1 7 12 41 1 2 0 0 0.2683 0.439 0.0244 0.1707 0.2927 0.1135 5.5 9 0.5 82 0.227 11 18
4050 0.265 0.361 86 134 22 4 28 99 75 125 10 6 1 0 0.688 1.072 0.224 0.792 0.6 0.0602 14.3333 22.3333 4.6667 750 3.61 860 1340
3600 0.235 0.353 39 67 10 0 11 33 48 92 14 4 1 0 0.4239 0.7283 0.1196 0.3587 0.5217 0.0882 9.75 16.75 2.75 368 4.942 546 938
3333 0.296 0.401 112 182 13 5 2 38 108 79 38 1 1 0 1.4177 2.3038 0.0253 0.481 1.3671 0.401 112 182 2 79 15.238 4256 6916
2183 0.264 0.353 39 91 16 2 8 40 47 32 4 8 1 0 1.2188 2.8438 0.25 1.25 1.4688 0.0441 4.875 11.375 1 256 1.412 156 364
1150 0.294 0.338 29 86 15 3 2 40 17 46 2 4 1 0 0.6304 1.8696 0.0435 0.8696 0.3696 0.0845 7.25 21.5 0.5 184 0.676 58 172
840 0.287 0.349 59 123 16 1 3 38 37 32 12 21 1 0 1.8438 3.8438 0.0938 1.1875 1.1562 0.0166 2.8095 5.8571 0.1429 672 4.188 708 1476
587 0.278 0.355 24 60 11 2 2 20 25 24 1 5 0 1 1 2.5 0.0833 0.8333 1.0417 0.071 4.8 12 0.4 120 0.355 24 60
400 0.222 0.296 21 38 8 5 2 19 18 52 0 3 1 0 0.4038 0.7308 0.0385 0.3654 0.3462 0.0987 7 12.6667 0.6667 156 0 0 0
350 0.248 0.286 24 56 5 2 2 13 12 35 2 12 1 0 0.6857 1.6 0.0571 0.3714 0.3429 0.0238 2 4.6667 0.1667 420 0.572 48 112
135 0.268 0.293 3 15 4 0 1 5 2 12 1 1 0 0 0.25 1.25 0.0833 0.4167 0.1667 0.293 3 15 1 12 0.293 3 15
135 0.214 0.25 1 3 1 0 0 1 0 5 1 2 0 0 0.2 0.6 0 0.2 0 0.125 0.5 1.5 0 10 0.25 1 3
135 0.195 0.345 10 22 2 0 0 3 25 32 3 11 0 0 0.3125 0.6875 0 0.0938 0.7812 0.0314 0.9091 2 0 352 1.035 30 66
4075 0.278 0.396 84 147 19 1 31 106 105 135 4 15 1 0 0.6222 1.0889 0.2296 0.7852 0.7778 0.0264 5.6 9.8 2.0667 2025 1.584 336 588
3300 0.267 0.296 60 155 22 3 17 87 23 114 8 15 0 1 0.5263 1.3596 0.1491 0.7632 0.2018 0.0197 4 10.3333 1.1333 1710 2.368 480 1240
2387 0.317 0.355 69 158 27 11 4 62 34 19 8 4 1 0 3.6316 8.3158 0.2105 3.2632 1.7895 0.0888 17.25 39.5 1 76 2.84 552 1264
2100 0.272 0.337 81 162 27 5 4 38 55 74 23 21 0 1 1.0946 2.1892 0.0541 0.5135 0.7432 0.016 3.8571 7.7143 0.1905 1554 7.751 1863 3726
1750 0.265 0.322 44 102 17 1 6 51 33 56 3 19 1 0 0.7857 1.8214 0.1071 0.9107 0.5893 0.0169 2.3158 5.3684 0.3158 1064 0.966 132 306
805 0.262 0.315 51 94 12 1 21 49 27 66 5 3 0 1 0.7727 1.4242 0.3182 0.7424 0.4091 0.105 17 31.3333 7 198 1.575 255 470
725 0.194 0.277 25 34 12 2 2 22 19 15 5 9 0 1 1.6667 2.2667 0.1333 1.4667 1.2667 0.0308 2.7778 3.7778 0.2222 135 1.385 125 170
687 0.217 0.319 41 74 16 0 12 44 51 77 9 10 1 0 0.5325 0.961 0.1558 0.5714 0.6623 0.0319 4.1 7.4 1.2 770 2.871 369 666
200 0.228 0.295 26 84 16 0 10 47 31 90 2 3 0 0 0.2889 0.9333 0.1111 0.5222 0.3444 0.0983 8.6667 28 3.3333 270 0.59 52 168
130 0.286 0.444 0 2 0 0 0 0 2 3 0 1 0 0 0 0.6667 0 0 0.6667 0.444 0 2 0 3 0 0 0
125 0.269 0.345 4 7 2 1 0 5 3 4 0 1 0 1 1 1.75 0 1.25 0.75 0.345 4 7 0 4 0 0 0
120 0.246 0.267 5 14 2 0 0 9 1 9 2 3 0 0 0.5556 1.5556 0 1 0.1111 0.089 1.6667 4.6667 0 27 0.534 10 28
117 0.275 0.298 6 25 3 0 1 6 2 14 0 8 0 0 0.4286 1.7857 0.0714 0.4286 0.1429 0.0372 0.75 3.125 0.125 112 0 0 0
114 0.243 0.308 13 26 7 2 2 8 9 27 1 2 0 0 0.4815 0.963 0.0741 0.2963 0.3333 0.154 6.5 13 1 54 0.308 13 26
4275 0.301 0.359 84 170 32 7 29 116 51 91 4 5 1 0 0.9231 1.8681 0.3187 1.2747 0.5604 0.0718 16.8 34 5.8 455 1.436 336 680
3563 0.312 0.357 67 155 30 3 4 43 34 74 17 7 1 0 0.9054 2.0946 0.0541 0.5811 0.4595 0.051 9.5714 22.1429 0.5714 518 6.069 1139 2635
2000 0.268 0.31 72 158 24 5 34 98 33 128 5 17 0 1 0.5625 1.2344 0.2656 0.7656 0.2578 0.0182 4.2353 9.2941 2 2176 1.55 360 790
1600 0.262 0.352 74 129 24 5 19 48 63 95 14 12 1 0 0.7789 1.3579 0.2 0.5053 0.6632 0.0293 6.1667 10.75 1.5833 1140 4.928 1036 1806
1533 0.221 0.283 23 51 8 4 1 12 20 33 3 12 0 1 0.697 1.5455 0.0303 0.3636 0.6061 0.0236 1.9167 4.25 0.0833 396 0.849 69 153
940 0.175 0.216 14 29 4 1 3 17 9 60 0 4 1 0 0.2333 0.4833 0.05 0.2833 0.15 0.054 3.5 7.25 0.75 240 0 0 0
850 0.238 0.273 31 104 16 2 5 41 18 61 3 1 0 1 0.5082 1.7049 0.082 0.6721 0.2951 0.273 31 104 5 61 0.819 93 312
650 0.264 0.325 51 92 10 6 0 18 30 31 21 5 0 0 1.6452 2.9677 0 0.5806 0.9677 0.065 10.2 18.4 0 155 6.825 1071 1932
360 0.225 0.271 16 40 9 0 0 19 9 22 1 5 0 0 0.7273 1.8182 0 0.8636 0.4091 0.0542 3.2 8 0 110 0.271 16 40
150 0.123 0.188 12 13 3 0 2 8 7 26 3 4 0 0 0.4615 0.5 0.0769 0.3077 0.2692 0.047 3 3.25 0.5 104 0.564 36 39
145 0.246 0.358 41 55 5 3 1 15 36 30 13 1 0 0 1.3667 1.8333 0.0333 0.5 1.2 0.358 41 55 1 30 4.654 533 715
140 0.24 0.306 14 31 7 1 2 14 12 25 0 1 0 0 0.56 1.24 0.08 0.56 0.48 0.306 14 31 2 25 0 0 0
109 0.115 0.148 0 3 1 0 0 2 1 6 0 4 0 0 0 0.5 0 0.3333 0.1667 0.037 0 0.75 0 24 0 0 0
109 0.12 0.185 0 3 0 0 0 1 2 11 0 2 0 0 0 0.2727 0 0.0909 0.1818 0.0925 0 1.5 0 22 0 0 0
3415 0.227 0.307 29 40 9 1 10 28 16 29 4 9 1 0 1 1.3793 0.3448 0.9655 0.5517 0.0341 3.2222 4.4444 1.1111 261 1.228 116 160
2100 0.323 0.374 99 210 46 5 34 114 53 46 6 12 1 0 2.1522 4.5652 0.7391 2.4783 1.1522 0.0312 8.25 17.5 2.8333 552 2.244 594 1260
1300 0.278 0.321 57 135 22 1 5 43 28 45 6 2 1 0 1.2667 3 0.1111 0.9556 0.6222 0.1605 28.5 67.5 2.5 90 1.926 342 810
1200 0.263 0.373 57 127 17 2 16 70 84 108 0 12 0 1 0.5278 1.1759 0.1481 0.6481 0.7778 0.0311 4.75 10.5833 1.3333 1296 0 0 0
1025 0.26 0.313 82 158 27 10 19 59 47 115 16 4 1 0 0.713 1.3739 0.1652 0.513 0.4087 0.0782 20.5 39.5 4.75 460 5.008 1312 2528
730 0.216 0.253 24 62 11 1 0 14 15 31 0 8 0 1 0.7742 2 0 0.4516 0.4839 0.0316 3 7.75 0 248 0 0 0
687 0.233 0.326 45 74 16 0 23 61 41 99 0 1 0 0 0.4545 0.7475 0.2323 0.6162 0.4141 0.326 45 74 23 99 0 0 0
380 0.204 0.255 29 42 9 0 7 18 13 49 0 5 0 0 0.5918 0.8571 0.1429 0.3673 0.2653 0.051 5.8 8.4 1.4 245 0 0 0
365 0.23 0.336 40 59 12 3 2 27 36 44 12 4 0 0 0.9091 1.3409 0.0455 0.6136 0.8182 0.084 10 14.75 0.5 176 4.032 480 708
175 0.243 0.304 36 83 15 0 11 31 29 61 0 2 0 0 0.5902 1.3607 0.1803 0.5082 0.4754 0.152 18 41.5 5.5 122 0 0 0
150 0.233 0.302 40 91 17 2 16 45 40 82 1 8 0 0 0.4878 1.1098 0.1951 0.5488 0.4878 0.0378 5 11.375 2 656 0.302 40 91
